Result of replaying M5.tpn on Process 1 (filtered on event attributes)

Index,Case IDs,NumOfCases,IsReliable,"Traversed Arcs","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Num. States","Move-Model Fitness","Trace Fitness","Max Fitness Cost","Move-Log Fitness","Trace Length","Queued States",Match
1,"instance_407",1,Yes,"456,845.00","37.00","12,616.00","67.00","135,923.00","0.75","0.61","95.00","0.67","67.00","155,342.00",[L/M]A|[L/M]C|[L/M]P|[L]AC|[L]AA|[L/M]X|[L]T|[L/M]R|[L/M]Z|[L/M]AE|[L/M]AC|[M-REAL]AA|[L/M]AD|[M-REAL]E|[M-REAL]L|[L/M]N|[M-REAL]S|[L/M]Q|[M-REAL]T|[L]AD|[L/M]G|[L]AA|[L/M]V|[M-REAL]O|[L]Z|[L/M]M|[L]H|[L/M]K|[M-REAL]H|[L/M]F|[L/M]U|[L]Y|[L/M]Z|[L/M]AC|[L/M]AA|[L]AA|[L/M]AD|[L/M]Z|[M-REAL]AB|[L]S|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AC|[M-REAL]AA|[L]E|[L/M]AD|[L/M]Z|[L/M]AB|[L/M]AA|[L]Z|[L/M]AF|[L]Z|[L]AC|[L]L|[L]AC|[L]D|[L]Z|[L]AC|[L/M]AD|[L/M]Z|[L/M]AB|[L/M]AA|[L/M]AD|[M-REAL]Z|[L/M]AB|[L/M]AA|[L/M]AD|[M-REAL]Z|[L]O|[L/M]AB|[L/M]AA|[L/M]AD|[L/M]Z|[M-REAL]AB|[L]AA|[L/M]AA|[M-REAL]t26t24|[M-REAL]Y|[M-REAL]D|[L]AD|[L/M]B
2,"instance_341",1,Yes,"221,808.00","29.00","5,761.00","71.00","56,331.00","0.83","0.71","99.00","0.75","71.00","71,989.00",[M-REAL]A|[L]AD|[L/M]C|[L/M]X|[L/M]P|[L/M]E|[L]AC|[L/M]G|[M-REAL]AE|[L]AD|[L]U|[L/M]AF|[L/M]R|[L/M]S|[L]Y|[L]AD|[L/M]K|[M-REAL]L|[L/M]N|[L/M]Z|[L/M]Q|[M-REAL]O|[L/M]M|[L/M]AC|[L/M]T|[L/M]H|[L/M]AA|[M-REAL]AD|[L/M]F|[L/M]W|[L]O|[L]Z|[L/M]Z|[L]AA|[L/M]AB|[M-REAL]U|[L]AD|[L]L|[L]AC|[L/M]AA|[L/M]AD|[L/M]Z|[L]AD|[L/M]AB|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AC|[L/M]AA|[M-REAL]AD|[L/M]Z|[L/M]AC|[L/M]AA|[L/M]AD|[L/M]Z|[L]AA|[L/M]AB|[L/M]AA|[L/M]AD|[L/M]Z|[M-REAL]AB|[L/M]AA|[L/M]AD|[L]Z|[L]AC|[L]A|[L/M]Z|[L/M]AC|[L/M]AA|[M-REAL]AD|[L]AE|[L/M]Z|[L/M]AB|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AC|[L/M]AA|[M-REAL]t26t24|[M-REAL]Y|[L/M]D|[L/M]B
3,"instance_40",1,Yes,"399,818.00","35.00","9,077.00","67.00","109,595.00","0.79","0.63","95.00","0.66","67.00","124,690.00",[L/M]A|[L]R|[L/M]C|[L]B|[L/M]P|[M-REAL]R|[L/M]E|[L]AC|[L]AC|[L/M]S|[L/M]L|[M-REAL]X|[L/M]Z|[M-REAL]AE|[L/M]AF|[M-REAL]G|[L/M]J|[L/M]N|[L]X|[L/M]AB|[L/M]H|[L]Z|[L/M]AA|[M-REAL]Q|[L]AB|[L/M]T|[L]F|[L/M]AD|[L/M]Z|[L]Z|[L/M]AC|[M-REAL]V|[L/M]U|[L]AA|[L]AA|[L]Z|[L]AE|[L/M]AA|[L/M]AD|[L/M]Z|[L]Z|[L/M]AB|[L/M]AA|[L/M]O|[L/M]AD|[L/M]Z|[L]Q|[L/M]AC|[L]AD|[L]G|[L]AA|[L/M]M|[M-REAL]F|[L/M]AA|[L/M]AD|[M-REAL]Z|[L]W|[L/M]AC|[L/M]AA|[L/M]AD|[M-REAL]Z|[L/M]AC|[L/M]AA|[L/M]AD|[L]AA|[L/M]Z|[L/M]AC|[L/M]AA|[L/M]AD|[L/M]Z|[L]AD|[L/M]AC|[M-REAL]AA|[M-REAL]t26t24|[L]AD|[L]Z|[L/M]Y|[L/M]D|[M-REAL]B
4,"instance_457",1,Yes,"376,595.00","29.00","9,514.00","67.00","102,476.00","0.82","0.69","95.00","0.73","67.00","116,266.00",[L/M]A|[L/M]C|[L/M]X|[L/M]P|[L/M]E|[L/M]Z|[M-REAL]L|[L/M]N|[L]AA|[L/M]S|[L/M]AE|[L/M]R|[L/M]G|[L]L|[L/M]J|[L]Z|[L/M]AB|[L/M]O|[M-REAL]AA|[L/M]AD|[M-REAL]Q|[L]AD|[L/M]T|[L/M]M|[M-REAL]V|[L]AD|[L/M]U|[M-REAL]H|[L/M]F|[L]AD|[L]AD|[L]AB|[L/M]Z|[L/M]AC|[L/M]AA|[M-REAL]AD|[L/M]Z|[L/M]AC|[L/M]AA|[L]AC|[L]AC|[L/M]AF|[M-REAL]AD|[L/M]Z|[L/M]AB|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AC|[L/M]AA|[L/M]AD|[L]Z|[L/M]Z|[L/M]AB|[L/M]AA|[L/M]AD|[L]D|[L]H|[L]AB|[L]AA|[L/M]Z|[M-REAL]AB|[L]AA|[L/M]AA|[L/M]AD|[L]V|[L/M]Z|[L/M]AC|[L/M]AA|[L/M]AD|[L/M]Z|[M-REAL]AB|[L]Q|[L/M]AA|[M-REAL]t26t24|[L/M]Y|[M-REAL]D|[L/M]B
5,"instance_436",1,Yes,"387,809.00","35.00","10,632.00","63.00","114,268.00","0.75","0.62","91.00","0.67","63.00","129,960.00",[M-REAL]A|[L]T|[L]F|[L/M]C|[L/M]P|[M-REAL]X|[M-REAL]Z|[L]AD|[L/M]AC|[L/M]AA|[L/M]S|[L/M]R|[M-REAL]E|[L/M]L|[L/M]G|[M-REAL]I|[L/M]H|[L/M]AE|[L]AC|[L]X|[L]J|[L/M]O|[L/M]N|[L/M]Q|[L]A|[L]Z|[L/M]AF|[M-REAL]T|[L/M]M|[M-REAL]F|[L/M]W|[L/M]U|[L/M]AD|[L/M]Z|[M-REAL]AB|[L/M]AA|[L/M]AD|[L/M]Z|[M-REAL]AB|[L/M]AA|[L/M]AD|[L]AA|[L]AB|[L]Z|[L]AC|[L/M]Z|[L/M]AC|[L/M]AA|[L/M]AD|[L/M]Z|[L]Z|[L/M]AB|[L]B|[L/M]AA|[M-REAL]AD|[L/M]Z|[L/M]AB|[L]AA|[L]AB|[L]E|[L]AB|[L]AD|[L/M]AA|[L]AD|[L/M]AD|[L/M]Z|[M-REAL]AB|[L/M]AA|[L/M]AD|[L]D|[L/M]Z|[L/M]AB|[L/M]AA|[M-REAL]t26t24|[L/M]Y|[M-REAL]D|[M-REAL]B
6,"instance_3",1,Yes,"304,966.00","31.00","8,674.00","63.00","85,109.00","0.79","0.66","91.00","0.70","63.00","106,375.00",[M-REAL]A|[L]N|[L]S|[L/M]C|[M-REAL]X|[L/M]Z|[L/M]AB|[L/M]AE|[M-REAL]E|[L/M]L|[M-REAL]N|[L/M]G|[L/M]AA|[L/M]AF|[L/M]J|[L/M]O|[M-REAL]AD|[L/M]Z|[L]A|[L/M]M|[L/M]AC|[L/M]H|[M-REAL]P|[M-REAL]S|[M-REAL]R|[L/M]Q|[L/M]AA|[L/M]F|[L]E|[L/M]AD|[L/M]Z|[L/M]AC|[L]U|[L/M]AA|[L]AA|[L/M]AD|[L/M]Z|[L/M]AC|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AB|[L/M]AA|[L/M]AD|[L/M]Z|[L]AA|[L/M]T|[L/M]AC|[L]AC|[L]AD|[L]Z|[L]P|[L/M]AA|[L/M]AD|[L/M]Z|[M-REAL]AB|[L/M]AA|[L]AA|[L]Z|[L]AD|[L]AB|[L/M]AD|[L/M]Z|[L]AC|[L]R|[L]AD|[L]X|[L/M]W|[M-REAL]U|[L/M]AC|[M-REAL]AA|[M-REAL]t26t24|[L/M]Y|[L/M]D|[L/M]B
7,"instance_80",1,Yes,"92,525.00","17.00","2,548.00","67.00","19,795.00","0.89","0.82","95.00","0.85","67.00","32,110.00",[L/M]A|[L/M]C|[L]AD|[L/M]P|[L/M]E|[L/M]R|[L/M]X|[M-REAL]AE|[L/M]AF|[L/M]G|[L/M]L|[L/M]S|[L/M]Q|[L/M]I|[L/M]O|[M-REAL]Z|[L]AA|[L/M]AB|[L/M]N|[L/M]M|[L/M]H|[L/M]T|[L/M]AA|[L/M]F|[L/M]AD|[L/M]W|[L]AA|[L]Y|[L/M]Z|[L/M]U|[M-REAL]AB|[L/M]AA|[L/M]AD|[L]AC|[L/M]Z|[L/M]AC|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AB|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AB|[M-REAL]AA|[L/M]AD|[L]Z|[L/M]Z|[L/M]AB|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AB|[L/M]AA|[L]AE|[L/M]AD|[L]Z|[L]AB|[L/M]Z|[L]Z|[L/M]AC|[L/M]AA|[L/M]AD|[M-REAL]Z|[L/M]AB|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AB|[L/M]AA|[M-REAL]t26t24|[M-REAL]Y|[L/M]D|[L/M]B
8,"instance_328",1,Yes,"10,636.00","13.00","367.00","67.00","1,929.00","0.90","0.86","95.00","0.91","67.00","4,915.00",[L]AA|[L/M]A|[L/M]C|[L]AA|[L/M]P|[L/M]X|[L/M]E|[L/M]G|[L/M]S|[L/M]AE|[L/M]L|[L]U|[L/M]O|[L/M]Z|[L/M]AF|[L/M]J|[L/M]N|[M-REAL]R|[L]B|[L/M]Q|[L/M]AC|[L/M]M|[L/M]AA|[L/M]H|[L/M]T|[L/M]AD|[L/M]F|[L/M]W|[M-REAL]U|[L/M]Z|[L]R|[L/M]AC|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AB|[M-REAL]AA|[L/M]AD|[L/M]Z|[L/M]AC|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AC|[L]AC|[L/M]AA|[L/M]AD|[L/M]Z|[M-REAL]AB|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AC|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AB|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AB|[M-REAL]AA|[L/M]AD|[L/M]Z|[L/M]AC|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AC|[L/M]AA|[M-REAL]t26t24|[L/M]Y|[L/M]D|[M-REAL]B
9,"instance_41",1,Yes,"323,765.00","25.00","7,809.00","59.00","82,231.00","0.83","0.71","87.00","0.73","59.00","98,160.00",[L/M]A|[L/M]C|[L/M]X|[L/M]E|[L/M]P|[L]M|[L/M]S|[L/M]AE|[L/M]L|[L/M]R|[L/M]Z|[M-REAL]G|[L]AA|[L/M]I|[L/M]N|[L/M]O|[M-REAL]M|[L/M]AC|[L]AD|[L/M]AF|[L/M]AA|[L/M]AD|[M-REAL]H|[L]AA|[L]D|[L/M]F|[M-REAL]Q|[L/M]T|[L]G|[L]Z|[L/M]Z|[M-REAL]V|[L/M]U|[L/M]AC|[M-REAL]AA|[L/M]AD|[L/M]Z|[L/M]AB|[L/M]AA|[M-REAL]AD|[L]AA|[L/M]Z|[L/M]AC|[L/M]AA|[L/M]AD|[L/M]Z|[L]AB|[L/M]AB|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AC|[L/M]AA|[L/M]AD|[L/M]Z|[L]AD|[L]Q|[L]Z|[L]AB|[L]AD|[L]W|[L/M]AC|[L/M]AA|[M-REAL]t26t24|[L/M]Y|[M-REAL]D|[L]H|[L/M]B
10,"instance_81",1,Yes,"278,950.00","31.00","7,454.00","59.00","74,669.00","0.82","0.64","87.00","0.61","59.00","89,515.00",[L/M]A|[M-REAL]C|[L]AB|[L/M]P|[L]U|[L]B|[L/M]S|[M-REAL]E|[L]Y|[L/M]L|[L/M]G|[L/M]R|[L/M]Q|[M-REAL]X|[L/M]AE|[L/M]Z|[L/M]J|[L/M]H|[L/M]O|[L/M]N|[L/M]AF|[L]Z|[L/M]M|[L/M]AC|[L]AD|[L/M]T|[L/M]AA|[L/M]F|[L]Z|[L/M]AD|[L/M]Z|[L/M]AB|[L/M]AA|[L/M]AD|[L]C|[L]AA|[L]AD|[L/M]Z|[L/M]AB|[L/M]AA|[L/M]AD|[L]AA|[L]AC|[L]AD|[L]AA|[L]AC|[L]AA|[L/M]Z|[L]AD|[L/M]AB|[L/M]AA|[L]X|[L]AA|[L/M]V|[L]AB|[L]Z|[L/M]AD|[M-REAL]U|[L/M]Z|[L/M]AC|[M-REAL]AA|[M-REAL]t26t24|[M-REAL]Y|[L]Z|[L]E|[L/M]D|[M-REAL]B
