Case_id,Replayed,Model_Fitness_Initial,Model_Fitness _Final,Time,|Alignment| Initial,|Alignment| Final,|Trace|,|Parikh_Trace|,|Model's Move|,Alignment
291|,1,0.333333333333333,0.597014925373134,2.08500003814697,125,92,65,67,67,[L/M]A|[L]AN|[L/M]C|[M]AJ|[L]AD|[M]AL|[L/M]E|[L]AJ|[M]AN|[L/M]O|[L/M]BH|[L/M]G|[L/M]J|[L/M]AA|[L]AL|[M]AR|[L/M]AC|[L]AL|[M]V|[L/M]BO|[L/M]BI|[L]AS|[L/M]Y|[L/M]AO|[L/M]Q|[L/M]AE|[M]U|[L/M]Z|[L/M]AF|[L]AT|[L/M]BJ|[L/M]AG|[L]BF|[L]BR|[M]AM|[L]AV|[M]BC|[L/M]W|[L/M]BM|[M]BE|[L/M]BK|[M]BF|[L/M]H|[M]BG|[L/M]BP|[M]BD|[L/M]K|[L/M]R|[L]BC|[M]AL|[L/M]BQ|[M]AS|[L/M]M|[L/M]N|[L]P|[M]AU|[L]AB|[M]AT|[L/M]AM|[L/M]L|[L]F|[L]AM|[L]AK|[M]BC|[L]U|[M]BF|[L/M]BE|[L/M]BG|[L/M]BD|[L/M]AL|[L/M]AS|[L]AU|[M]AV|[L/M]AT|[M]t22t15|[L]BF|[M]AD|[L/M]AM|[L]BC|[M]BR|[L]BE|[M]t38t36|[L]BG|[M]AB|[L]BD|[M]P|[L]V|[M]AK|[L]AR|[M]F|[L/M]D|[L/M]B|
294|,1,0.433333333333333,0.704545454545455,1.44899988174439,76,55,42,44,44,[L/M]A|[L/M]C|[L/M]E|[L/M]AJ|[L]AK|[L/M]G|[L/M]BH|[L]BP|[L/M]AL|[L/M]BO|[L/M]AA|[L]Y|[L/M]AS|[M]O|[L/M]BI|[L/M]Q|[L/M]V|[L/M]J|[L]M|[M]AH|[L]Z|[M]BP|[L/M]AI|[L/M]BJ|[L/M]H|[M]K|[L/M]W|[L/M]BN|[M]Y|[L/M]AV|[L/M]AT|[L/M]AB|[M]BQ|[L/M]T|[L/M]BK|[M]t22t15|[L/M]BR|[L]B|[M]M|[L/M]R|[L]BQ|[L]AH|[M]Z|[L/M]N|[L/M]AM|[L/M]L|[L]O|[M]t38t36|[L/M]P|[L]D|[M]AK|[L/M]F|[M]D|[L]K|[M]B|
290|,1,0.435897435897436,0.592592592592593,1.44099998474121,96,74,52,54,54,[L/M]A|[L/M]C|[L/M]E|[L/M]AJ|[L/M]AA|[L/M]G|[L/M]O|[M]J|[L/M]AL|[M]AS|[L/M]BH|[L/M]AH|[M]H|[L/M]BO|[L/M]V|[L/M]BI|[L]AL|[M]AU|[L/M]AI|[L/M]Q|[L]BK|[L]J|[M]BP|[L]AS|[M]K|[L/M]Y|[L]H|[M]AT|[L/M]W|[L/M]Z|[L/M]BJ|[L/M]AM|[L/M]BL|[L/M]BQ|[L/M]AB|[L/M]S|[M]BC|[L/M]N|[L]AM|[M]BE|[L/M]BR|[L/M]R|[L]BC|[M]BF|[L/M]M|[L]AT|[M]BG|[L]BP|[M]BD|[L/M]L|[L]AU|[L]F|[M]AL|[L]P|[M]AS|[L]BE|[M]AU|[L]BF|[M]AT|[L]BG|[M]AM|[L]BD|[M]t22t15|[L]AS|[M]P|[L]AU|[M]t38t36|[L]AT|[M]BK|[L]K|[L/M]AK|[M]F|[L/M]D|[L/M]B|
295|,1,0.365591397849462,0.552238805970149,2.73000001907349,124,95,65,67,67,[L/M]A|[L/M]C|[L]J|[L/M]AJ|[M]E|[L/M]AA|[M]G|[L/M]O|[M]J|[L/M]AL|[M]AS|[L/M]BO|[L]BK|[M]BH|[L/M]BI|[L/M]Y|[L/M]AW|[L]AX|[L]BH|[L]E|[L/M]Z|[L/M]Q|[M]AC|[L/M]AG|[L/M]H|[L/M]AF|[L/M]AE|[L]BA|[M]AT|[L/M]BP|[L/M]T|[L/M]V|[L/M]W|[L/M]BJ|[L/M]K|[L/M]AD|[M]AM|[L]AY|[M]BC|[L/M]BQ|[M]BE|[L/M]BF|[L/M]BL|[M]BG|[L/M]BR|[M]BD|[L/M]AB|[M]AL|[L/M]N|[L/M]M|[L]P|[M]AX|[L]AM|[M]BA|[L]AC|[M]AY|[L/M]L|[L]BC|[L]F|[M]AM|[L]AL|[M]BC|[L/M]BE|[L]BC|[L/M]R|[M]BF|[L/M]BG|[L/M]BD|[L]AS|[L]AT|[L]AM|[L]G|[M]AL|[L]BF|[M]AX|[L]BE|[M]BA|[L]BG|[M]AY|[L]BD|[M]t22t15|[L]AL|[M]AM|[L]AX|[M]t38t36|[L]BA|[M]BK|[L]AY|[M]P|[L]AM|[M]F|[L/M]AK|[L]B|[L/M]D|[M]B|
297|,1,0.38961038961039,0.607142857142857,1.83400011062622,101,76,54,56,56,[L/M]A|[L/M]C|[L]AT|[L/M]AJ|[L]O|[M]E|[L/M]G|[L/M]AA|[L]B|[L/M]AL|[L]Y|[M]BO|[L/M]BH|[L/M]BP|[M]O|[L/M]AS|[M]AU|[L/M]Q|[L/M]V|[L/M]BI|[L]Z|[L/M]BQ|[L/M]I|[L/M]AC|[L]V|[M]AG|[L/M]BJ|[L/M]H|[M]AT|[L/M]T|[M]W|[L/M]AF|[M]X|[L/M]BR|[M]V|[L/M]W|[L]L|[M]X|[L/M]AE|[M]V|[L/M]BL|[M]W|[L/M]R|[L/M]X|[M]V|[L/M]K|[M]W|[L/M]BK|[M]Y|[L/M]AD|[L/M]AB|[L/M]M|[L/M]N|[L/M]AM|[L]V|[L]E|[M]t22t15|[L]AU|[M]Z|[L]AK|[M]t38t36|[L]W|[M]L|[L]X|[M]P|[L]V|[M]AK|[L/M]F|[L]X|[L]AG|[L]W|[L]P|[L]W|[L/M]D|[L]BO|[M]B|
296|,1,0.328571428571429,0.444444444444444,1.54200005531311,99,82,52,54,54,[L]N|[M]A|[L/M]C|[M]AJ|[M]AL|[M]E|[L]J|[M]G|[L]AJ|[M]J|[L]BN|[M]AS|[L/M]BH|[L/M]AA|[L]AL|[M]BO|[L/M]O|[L]BJ|[L]AX|[M]H|[L]G|[M]AV|[L]AS|[M]V|[L]P|[M]BI|[L/M]BP|[L/M]AT|[M]AH|[L/M]Y|[L/M]K|[L/M]Q|[L]BO|[L]AV|[L/M]BQ|[L/M]AI|[L]E|[M]BJ|[L]H|[M]BN|[L/M]Z|[L/M]AB|[L/M]T|[M]AM|[L/M]BR|[L/M]W|[L/M]BK|[L]AH|[L]V|[M]BC|[L]AM|[M]BF|[L/M]R|[L/M]M|[L]BC|[M]BG|[L]A|[L/M]BE|[M]BD|[L]BF|[M]AL|[L]F|[M]AX|[L]BG|[M]BA|[L]BD|[M]AY|[L]AL|[M]AM|[L]BI|[M]t22t15|[L]BA|[M]N|[L]AY|[M]t38t36|[L]AM|[M]P|[L/M]AK|[L/M]L|[M]F|[L/M]D|[L/M]B|
299|,1,0.342465753424658,0.508771929824561,2.01699995994568,103,83,55,57,57,[M]A|[L/M]C|[L]D|[M]E|[L/M]AJ|[M]G|[L/M]I|[L/M]AL|[M]AS|[L]AK|[M]BH|[L]E|[M]BO|[L]Q|[M]O|[L]BE|[M]AW|[L/M]BP|[M]Q|[L]AX|[M]V|[L/M]AA|[L/M]BI|[L]G|[L/M]Y|[L/M]BQ|[L]L|[L/M]AC|[L]AZ|[M]AT|[L/M]Z|[L/M]W|[L]V|[L]O|[L/M]AE|[L/M]BJ|[L/M]BR|[M]AM|[L/M]BL|[M]BC|[L/M]AF|[M]BE|[L/M]H|[M]BF|[L/M]S|[M]BG|[L]F|[M]BD|[L]BH|[M]AL|[L]AY|[M]AX|[L/M]K|[M]AZ|[L]P|[M]AY|[L/M]AM|[L/M]AG|[L/M]R|[M]t22t15|[L/M]M|[L/M]AD|[L/M]N|[L/M]AB|[L]AL|[L]BC|[L]BF|[L]BG|[L/M]BK|[L]BD|[L]AS|[M]t38t36|[L]AW|[M]L|[L]AT|[M]P|[L]AM|[M]AK|[L]BO|[M]F|[L]A|[M]D|[L/M]B|
298|,1,0.313953488372093,0.603174603174603,2.36199998855591,120,86,61,63,63,[L]E|[L]AE|[M]A|[L/M]C|[L]AC|[L]A|[M]AJ|[L]I|[M]E|[L/M]BO|[L/M]AL|[L]AM|[M]AN|[L/M]G|[M]I|[L/M]AA|[L]BJ|[M]BH|[L/M]BP|[L]AS|[L/M]O|[M]V|[L/M]BI|[L/M]BQ|[L]AJ|[M]AC|[L/M]AR|[L/M]Q|[L/M]W|[L]BH|[M]AO|[L/M]Y|[L/M]H|[L/M]X|[L/M]Z|[M]V|[L/M]BR|[M]W|[L/M]AG|[L]BL|[M]X|[L/M]U|[L]D|[L]AT|[M]BJ|[L/M]K|[L/M]V|[L]BK|[M]AE|[L/M]AM|[L/M]AF|[L/M]W|[L/M]R|[L/M]M|[L/M]AD|[L]B|[L/M]BC|[L/M]N|[L/M]AB|[L]W|[L/M]BF|[L/M]BG|[L/M]BE|[L/M]BD|[L/M]AL|[M]AS|[M]AW|[L]X|[M]AT|[L]AN|[M]AM|[L]AW|[M]t22t15|[L]V|[M]BL|[L]AO|[M]t38t36|[L/M]L|[L]V|[M]BK|[L/M]P|[M]AK|[L/M]F|[M]D|[L]AK|[M]B|
172|,1,0.481927710843374,0.625,1.96799993515015,105,86,62,64,64,[L/M]A|[L/M]C|[L/M]AJ|[L/M]AL|[L]K|[M]E|[L/M]G|[L]P|[L/M]AN|[L/M]BH|[M]J|[L/M]AA|[L/M]BI|[M]BO|[L/M]BP|[M]H|[L/M]AP|[L/M]O|[L/M]AH|[L]AN|[M]V|[L/M]BQ|[L/M]BJ|[L/M]AO|[L/M]Q|[M]K|[L/M]AI|[L/M]BL|[M]W|[L/M]Y|[L/M]BR|[L]V|[L/M]AB|[L/M]Z|[L/M]AM|[L/M]U|[M]BC|[L/M]N|[M]BE|[L]BO|[M]BF|[L/M]R|[M]BG|[L/M]M|[M]BD|[L]AM|[M]AL|[L]BC|[M]AN|[L]H|[M]AP|[L/M]BK|[M]AO|[L/M]L|[M]AM|[L]F|[M]BC|[L/M]BE|[L/M]BF|[L/M]BG|[L/M]BD|[L/M]AL|[L/M]AS|[L]D|[M]AU|[L/M]AT|[L/M]AM|[L]BC|[L]BF|[L]BE|[L]E|[L]BD|[L]AL|[L]J|[L]AP|[M]t22t15|[L]AO|[M]t38t36|[L]W|[M]P|[L/M]AK|[L]AU|[M]F|[L]BG|[M]D|[L/M]B|
70|,1,0.403225806451613,0.574468085106383,1.36999988555908,82,65,45,47,47,[L/M]A|[L]BP|[M]C|[L/M]AJ|[L/M]E|[L]F|[L/M]BO|[L/M]AL|[L]C|[M]G|[L]Q|[M]J|[L/M]BH|[L/M]AX|[L]Y|[L/M]O|[L]BK|[L]BQ|[M]Q|[L]AH|[M]BB|[L/M]AA|[L]G|[M]BI|[L/M]V|[L]Z|[M]AH|[L]V|[M]BP|[L/M]BJ|[L/M]AI|[L/M]AY|[M]W|[L]BR|[M]X|[L/M]BL|[M]V|[L/M]W|[L/M]H|[M]Y|[L/M]U|[L/M]AB|[M]BQ|[L/M]AM|[L/M]R|[L]X|[M]t22t15|[L/M]K|[L]J|[M]Z|[L]BI|[M]BR|[L]BB|[L/M]M|[M]t38t36|[L/M]N|[L]AK|[M]BK|[L]W|[L/M]L|[M]AK|[L/M]P|[M]F|[L/M]D|[L/M]B|
