Result of replaying M3.tpn on Process 1 (filtered on event attributes)

Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost Lo","Decomposed Sync-Move Numerator","Raw Fitness Cost Hi","Sync-Move Fitness","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Decomposed Sync-Move Fitness","Decomposed Sync-Move Denominator","Raw Fitness Perc Hi","Raw Fitness Cost Max","Raw Fitness Perc Lo",Match
1,"instance_291|instance_56|instance_327|instance_325|instance_231|instance_437|instance_88",7,Yes,"0.00","15.00","0.00","1.00","0.00","15.00","130.00","1.00","15.00","1.00","170.00","1.00",[L/M]A|[L/M]C|[M-INVI]t2t31|[L/M]AF|[L/M]AU|[L/M]BA|[L/M]AW|[L/M]BB|[L/M]AZ|[L/M]AX|[L/M]AV|[L/M]AG|[M-INVI]t32t3|[L/M]D|[L/M]B
2,"instance_68|instance_490|instance_406|instance_33|instance_476|instance_10|instance_15",7,Yes,"0.00","14.00","0.00","1.00","0.00","8.00","100.00","1.00","14.00","1.00","140.00","1.00",[L/M]A|[L/M]C|[M-INVI]t2t67|[L/M]BP|[L/M]BR|[M-INVI]t69t80|[L/M]CC|[L/M]CD|[M-INVI]t81t70|[L/M]BS|[L/M]BQ|[M-INVI]t68t3|[L/M]D|[L/M]B
3,"instance_171|instance_288|instance_92|instance_205|instance_233|instance_125",6,Yes,"0.00","15.00","0.00","1.00","0.00","13.00","130.00","1.00","15.00","1.00","170.00","1.00",[L/M]A|[L/M]C|[M-INVI]t2t31|[L/M]AF|[L/M]AU|[L/M]BA|[L/M]BB|[L/M]AW|[L/M]AY|[L/M]AX|[L/M]AV|[L/M]AG|[M-INVI]t32t3|[L/M]D|[L/M]B
4,"instance_194|instance_131|instance_309|instance_7|instance_391|instance_457",6,Yes,"0.00","14.00","0.00","1.00","0.00","10.00","120.00","1.00","14.00","1.00","160.00","1.00",[L/M]A|[L/M]C|[M-INVI]t2t67|[L/M]BP|[L/M]BR|[L/M]BT|[L/M]BV|[L/M]BW|[L/M]BU|[L/M]BS|[L/M]BQ|[M-INVI]t68t3|[L/M]D|[L/M]B
5,"instance_377|instance_34|instance_472|instance_462|instance_46",5,Yes,"0.00","15.00","0.00","1.00","0.00","13.00","130.00","1.00","15.00","1.00","170.00","1.00",[L/M]A|[L/M]C|[M-INVI]t2t31|[L/M]AF|[L/M]AU|[L/M]BA|[L/M]AW|[L/M]BB|[L/M]AY|[L/M]AX|[L/M]AV|[L/M]AG|[M-INVI]t32t3|[L/M]D|[L/M]B
6,"instance_158|instance_487|instance_144|instance_439",4,Yes,"0.00","14.00","0.00","1.00","0.00","10.00","120.00","1.00","14.00","1.00","160.00","1.00",[L/M]A|[L/M]C|[M-INVI]t2t67|[L/M]BP|[L/M]BR|[L/M]BT|[L/M]BW|[L/M]BV|[L/M]BU|[L/M]BS|[L/M]BQ|[M-INVI]t68t3|[L/M]D|[L/M]B
7,"instance_493|instance_146",2,Yes,"0.00","23.00","0.00","1.00","0.00","9.00","190.00","1.00","23.00","1.00","230.00","1.00",[L/M]A|[L/M]C|[M-INVI]t2t67|[L/M]BP|[L/M]BR|[M-INVI]t69t75|[L/M]BX|[L/M]BZ|[L/M]BY|[L/M]CB|[L/M]BX|[L/M]BZ|[L/M]BY|[L/M]CB|[L/M]BX|[L/M]BZ|[L/M]BY|[M-INVI]t76t70|[L/M]BS|[L/M]BQ|[M-INVI]t68t3|[L/M]D|[L/M]B
8,"instance_83|instance_248",2,Yes,"0.00","17.00","0.00","1.00","0.00","7.00","130.00","1.00","17.00","1.00","170.00","1.00",[L/M]A|[L/M]C|[M-INVI]t2t67|[L/M]BP|[L/M]BR|[M-INVI]t69t80|[L/M]CC|[L/M]CD|[L/M]CE|[L/M]CC|[L/M]CD|[M-INVI]t81t70|[L/M]BS|[L/M]BQ|[M-INVI]t68t3|[L/M]D|[L/M]B
9,"instance_187|instance_129",2,Yes,"0.00","15.00","0.00","1.00","0.00","9.00","140.00","1.00","15.00","1.00","180.00","1.00",[L/M]A|[L/M]C|[L/M]E|[L/M]T|[L/M]V|[L/M]AB|[L/M]AE|[L/M]X|[L/M]AC|[L/M]W|[M-INVI]t22t20|[L/M]U|[L/M]F|[L/M]D|[L/M]B
10,"instance_177|instance_244",2,Yes,"0.00","15.00","0.00","1.00","0.00","7.00","140.00","1.00","15.00","1.00","180.00","1.00",[L/M]A|[L/M]C|[L/M]E|[L/M]T|[L/M]AB|[L/M]V|[L/M]Y|[L/M]AD|[L/M]AC|[L/M]W|[M-INVI]t22t20|[L/M]U|[L/M]F|[L/M]D|[L/M]B
11,"instance_150|instance_161",2,Yes,"0.00","15.00","0.00","1.00","0.00","7.00","140.00","1.00","15.00","1.00","180.00","1.00",[L/M]A|[L/M]C|[L/M]E|[L/M]T|[L/M]AB|[L/M]V|[L/M]AD|[L/M]AC|[L/M]X|[L/M]W|[M-INVI]t22t20|[L/M]U|[L/M]F|[L/M]D|[L/M]B
12,"instance_498|instance_84",2,Yes,"0.00","15.00","0.00","1.00","0.00","7.00","140.00","1.00","15.00","1.00","180.00","1.00",[L/M]A|[L/M]C|[L/M]E|[L/M]T|[L/M]AB|[L/M]V|[L/M]AD|[L/M]Z|[L/M]AC|[L/M]W|[M-INVI]t22t20|[L/M]U|[L/M]F|[L/M]D|[L/M]B
13,"instance_140|instance_368",2,Yes,"0.00","15.00","0.00","1.00","0.00","7.00","110.00","1.00","15.00","1.00","150.00","1.00",[L/M]A|[L/M]C|[M-INVI]t2t67|[L/M]BP|[L/M]BR|[M-INVI]t69t75|[L/M]BX|[L/M]CA|[L/M]BY|[M-INVI]t76t70|[L/M]BS|[L/M]BQ|[M-INVI]t68t3|[L/M]D|[L/M]B
14,"instance_441|instance_195",2,Yes,"0.00","15.00","0.00","1.00","0.00","9.00","140.00","1.00","15.00","1.00","180.00","1.00",[L/M]A|[L/M]C|[L/M]E|[L/M]T|[L/M]AB|[L/M]V|[L/M]AE|[L/M]Y|[L/M]AC|[L/M]W|[M-INVI]t22t20|[L/M]U|[L/M]F|[L/M]D|[L/M]B
15,"instance_137|instance_425",2,Yes,"14.00","13.00","14.00","0.87","14.00","13.00","100.00","0.87","15.00","0.90","140.00","0.90",[L/M]A|[L/M]C|[M-INVI]t2t67|[L/M]BP|[L]CC|[L/M]BR|[M-INVI]t69t80|[M-REAL]CC|[L/M]CD|[M-INVI]t81t70|[L/M]BS|[L/M]BQ|[M-INVI]t68t3|[L/M]D|[L/M]B
