Result of replaying ML3.tpn on Process 28 (filtered on event attributes)

Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost Lo","Decomposed Sync-Move Numerator","Raw Fitness Cost Hi","Sync-Move Fitness","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Decomposed Sync-Move Fitness","Decomposed Sync-Move Denominator","Raw Fitness Perc Hi","Raw Fitness Cost Max","Raw Fitness Perc Lo",Match
1,"instance_15|instance_91",2,Yes,"42,00","7,00","42,00","0,54","42,00","5,00","80,00","0,54","13,00","0,62","112,00","0,62",[L/M]A|[L/M]C|[M-INVI]t2t14|[L/M]O|[M-REAL]S|[M-REAL]R|[M-REAL]P|[M-INVI]t15t3|[L/M]D|[L]P|[L]R|[L]S|[L/M]B
2,"instance_224",1,Yes,"1.266,00","105,00","1.266,00","0,40","1.266,00","1.703,00","1.940,00","0,40","261,00","0,36","1.972,00","0,36",[M-REAL]A|[L]T|[L]O|[L]I|[L/M]C|[M-INVI]t2t14|[L/M]O|[L/M]S|[L]U|[L/M]W|[L]S|[L/M]V|[L/M]U|[L/M]T|[L]O|[L/M]P|[M-INVI]t15t3|[L]AM|[L/M]D|[M-REAL]AC|[L]X|[L/M]AE|[L/M]AJ|[M-REAL]AL|[L]D|[L]AJ|[L]AJ|[L/M]AK|[L/M]AO|[M-REAL]AJ|[L/M]AG|[L/M]AF|[M-INVI]t31t29|[L/M]AN|[L]C|[L/M]AK|[M-INVI]t36t29|[M-REAL]AD|[L]AB|[L]AG|[L/M]C|[M-INVI]t2t14|[M-REAL]O|[M-REAL]S|[M-REAL]U|[L]AC|[L]Z|[L/M]V|[L/M]W|[M-REAL]T|[L]J|[L/M]P|[M-REAL]X|[M-REAL]AB|[L]AN|[L]T|[L]T|[L/M]Z|[L/M]AA|[L]F|[L/M]Y|[M-REAL]O|[L/M]S|[M-REAL]V|[L]S|[L/M]W|[L]AN|[L]W|[L/M]U|[M-REAL]T|[L]AB|[L]AE|[L]AA|[L/M]P|[M-INVI]t15t3|[M-REAL]D|[M-REAL]AC|[L]AF|[L]F|[L]T|[L]L|[L/M]AJ|[L/M]AM|[L]AF|[L]D|[L]AJ|[L]J|[L/M]AE|[L/M]AG|[L]T|[L/M]AF|[L/M]AI|[M-REAL]AE|[L/M]AG|[M-REAL]AF|[M-REAL]AK|[M-INVI]t31t29|[M-INVI]t36t29|[L/M]AD|[M-REAL]C|[M-INVI]t2t14|[L]AN|[L/M]O|[M-REAL]S|[M-REAL]U|[L/M]V|[L]B|[L]G|[L/M]W|[M-REAL]T|[L]Y|[L]E|[L]AB|[L/M]P|[M-INVI]t15t3|[M-REAL]D|[L]S|[L]O|[L/M]AC|[L]S|[L]C|[L]D|[L]AE|[L]V|[L]O|[L]AE|[L]P|[L]M|[L/M]AE|[L]AO|[L/M]AG|[L/M]AJ|[L]AB|[L]AK|[L/M]AF|[L/M]AI|[M-REAL]AE|[L]U|[L]I|[L/M]AH|[L]AK|[L]L|[L]V|[L]K|[L/M]AF|[M-REAL]AI|[L]AG|[L]N|[L]AK|[L/M]AN|[L/M]AE|[L]E|[L]U|[L]C|[L]AC|[L]W|[L]AC|[L]AJ|[L]Y|[L]W|[L/M]AG|[L/M]AK|[M-REAL]AO|[L/M]AF|[L]U|[L]AD|[L]AK|[L]D|[L/M]AJ|[M-INVI]t31t29|[L/M]AM|[M-REAL]AK|[M-INVI]t36t29|[L]Z|[L/M]AD|[M-REAL]C|[M-INVI]t2t14|[L/M]O|[M-REAL]S|[M-REAL]U|[L]M|[L/M]V|[L]T|[L/M]W|[L/M]T|[L]S|[L/M]P|[L/M]X|[M-REAL]AB|[L/M]Z|[L/M]AA|[L/M]Y|[M-REAL]O|[M-REAL]S|[M-REAL]W|[L]V|[L]U|[L]H|[L/M]U|[L]Z|[L]P|[L]O|[L]G|[L]AO|[L/M]V|[L]AA|[L/M]T|[L/M]P|[L/M]X|[M-REAL]Z|[L/M]AB|[M-REAL]AA|[L]AK|[L/M]Y|[M-REAL]O|[L/M]S|[M-REAL]V|[L]H|[L/M]U|[L/M]W|[M-REAL]T|[M-REAL]P|[M-INVI]t15t3|[L]AI|[L]AO|[L]X|[L/M]D|[M-REAL]AC|[L/M]AJ|[L/M]AE|[M-REAL]AG|[L/M]AF|[L/M]AN|[L/M]AK|[L]AG|[L]V|[L/M]AI|[L]AD|[L/M]AE|[M-REAL]AG|[M-REAL]AF|[M-INVI]t31t29|[M-INVI]t36t29|[L/M]AD|[L]AF|[L]A|[L/M]C|[M-INVI]t2t14|[L/M]O|[M-REAL]S|[M-REAL]R|[L]K|[L]N|[L/M]P|[M-INVI]t15t3|[M-REAL]D|[M-REAL]B|[L]S|[L]X|[L]AC|[L]AA
3,"instance_249",1,Yes,"1.134,00","77,00","1.134,00","0,35","1.134,00","1.306,00","1.540,00","0,35","218,00","0,28","1.572,00","0,28",[M-REAL]A|[M-REAL]C|[L]F|[L]AK|[L/M]E|[M-REAL]G|[L]AM|[L/M]J|[L]G|[L]AC|[L]AC|[L]AH|[L/M]K|[M-REAL]M|[M-REAL]N|[L/M]I|[L/M]H|[L/M]L|[L]I|[L]D|[L/M]F|[L/M]D|[M-REAL]AC|[M-REAL]AJ|[L]AD|[L]N|[L]K|[L/M]AE|[L/M]AN|[M-REAL]AK|[M-REAL]AG|[M-INVI]t36t29|[L]S|[L]C|[L]AE|[L/M]AF|[M-INVI]t31t29|[L]J|[L/M]AD|[L]N|[L/M]C|[M-INVI]t2t14|[M-REAL]O|[L]H|[L/M]S|[M-REAL]V|[L]O|[L/M]U|[L]C|[L/M]W|[L/M]T|[M-REAL]P|[M-INVI]t15t3|[M-REAL]D|[L/M]AC|[M-REAL]AE|[L]M|[L/M]AJ|[M-REAL]AL|[L]P|[L/M]AK|[M-INVI]t36t29|[M-REAL]AG|[L/M]AF|[M-INVI]t31t29|[M-REAL]AD|[M-REAL]C|[M-INVI]t2t14|[M-REAL]O|[L]D|[L]U|[L]E|[L]AF|[L/M]S|[L]AF|[L]I|[L]R|[L]G|[L]AM|[L]L|[L]O|[L]AE|[L/M]R|[L]F|[L]AO|[L/M]P|[M-INVI]t15t3|[L/M]D|[M-REAL]AC|[L]AK|[L]AD|[L/M]AE|[M-REAL]AG|[L]I|[L]AM|[L/M]AF|[L]P|[L]J|[L]AJ|[L]P|[L/M]AJ|[L]L|[L]C|[L]G|[L]V|[L]C|[L]E|[L]W|[L/M]AN|[L/M]AK|[M-REAL]AO|[M-REAL]AI|[L]AC|[L]AK|[L/M]AJ|[L/M]AE|[L/M]AG|[M-REAL]AF|[M-REAL]AL|[M-INVI]t31t29|[L]C|[L/M]AK|[M-INVI]t36t29|[L/M]AD|[M-REAL]C|[M-INVI]t2t14|[M-REAL]O|[L]V|[L]AF|[L/M]S|[M-REAL]R|[M-REAL]P|[M-INVI]t15t3|[L]E|[L/M]D|[L/M]AC|[L]AE|[L/M]AE|[L]H|[L]K|[L]C|[L/M]AG|[L/M]AF|[M-REAL]AI|[M-REAL]AE|[L]C|[L/M]AJ|[M-REAL]AL|[L]J|[L/M]AH|[L]F|[L]AC|[L]S|[L]T|[L]R|[L/M]AK|[L/M]AF|[M-INVI]t36t29|[M-INVI]t31t29|[L]AC|[L]AK|[L]M|[L/M]AD|[M-REAL]C|[M-INVI]t2t14|[L]AH|[L/M]O|[M-REAL]S|[M-REAL]R|[M-REAL]P|[M-INVI]t15t3|[L]N|[L]AH|[L]AJ|[L/M]D|[L/M]AC|[L]D|[L]N|[L/M]AE|[M-REAL]AG|[M-REAL]AF|[M-REAL]AJ|[M-REAL]AL|[L]A|[L/M]AK|[M-INVI]t31t29|[M-INVI]t36t29|[L]O|[L/M]AD|[L]AH|[L/M]C|[M-REAL]E|[L]AD|[L/M]K|[M-REAL]N|[L]P|[L]D|[L]AN|[L]M|[L]AM|[L]AJ|[L]O|[L]D|[L]AJ|[L]AD|[L]AN|[L/M]M|[L]AH|[L/M]G|[M-REAL]I|[M-REAL]J|[L]AJ|[L/M]L|[L/M]H|[M-REAL]F|[M-REAL]D|[L]AN|[L/M]B
4,"instance_372",1,Yes,"838,00","82,00","838,00","0,42","838,00","1.083,00","1.310,00","0,42","197,00","0,38","1.342,00","0,38",[M-REAL]A|[L]AG|[L/M]C|[L/M]E|[M-REAL]K|[M-REAL]M|[L/M]G|[M-REAL]J|[M-REAL]I|[L]AK|[L]AD|[L]D|[L/M]N|[M-REAL]L|[L]AK|[L/M]H|[L/M]F|[L/M]D|[M-REAL]AC|[M-REAL]AE|[M-REAL]AJ|[L]AM|[L]AD|[L/M]AN|[L/M]AK|[M-REAL]AO|[L]S|[L]D|[L]AI|[L/M]AG|[L/M]AJ|[M-REAL]AL|[M-REAL]AF|[L]S|[L/M]AK|[M-REAL]AO|[L]AL|[L]AN|[L]AE|[L/M]AJ|[L/M]AN|[L]AC|[L/M]AK|[M-REAL]AO|[M-INVI]t31t29|[L]AJ|[L/M]AJ|[L]K|[L]T|[L/M]AM|[M-REAL]AK|[M-INVI]t36t29|[L]L|[L/M]AD|[L/M]C|[M-INVI]t2t14|[L/M]O|[M-REAL]S|[M-REAL]R|[M-REAL]P|[M-INVI]t15t3|[L]C|[L]AH|[L/M]D|[M-REAL]AC|[M-REAL]AJ|[L]AF|[L/M]AE|[L/M]AL|[M-REAL]AG|[L/M]AK|[M-REAL]AO|[L]P|[L]AK|[L/M]AJ|[L/M]AF|[M-REAL]AI|[L/M]AN|[L/M]AK|[M-REAL]AO|[L/M]AE|[M-REAL]AJ|[L/M]AN|[L/M]AG|[M-REAL]AF|[L]AJ|[L]AJ|[L]AJ|[L]AG|[L/M]AK|[L/M]AI|[M-REAL]AE|[M-INVI]t36t29|[L]K|[L]AO|[L/M]AG|[L/M]AF|[M-INVI]t31t29|[L]M|[L]P|[L/M]AD|[L]V|[L/M]C|[L/M]E|[M-REAL]K|[L/M]G|[L/M]J|[M-REAL]M|[L/M]I|[M-REAL]H|[L]AN|[L/M]N|[M-REAL]L|[L]AI|[L/M]F|[L/M]D|[M-REAL]AC|[M-REAL]AJ|[M-REAL]AL|[M-REAL]AE|[M-REAL]AG|[L/M]AF|[L/M]AI|[M-REAL]AE|[L/M]AG|[L/M]AK|[L/M]AF|[L/M]AO|[L/M]AJ|[L]S|[L]AO|[L/M]AM|[L/M]AK|[M-REAL]AO|[L]AK|[L]AC|[L/M]AJ|[L/M]AM|[M-REAL]AK|[M-INVI]t36t29|[M-REAL]AI|[L/M]AE|[M-REAL]AG|[L]AE|[L]A|[L/M]AF|[M-INVI]t31t29|[M-REAL]AD|[M-REAL]C|[M-INVI]t2t14|[L]AC|[L]I|[L/M]O|[M-REAL]S|[L]AO|[L/M]R|[M-REAL]P|[M-INVI]t15t3|[M-REAL]D|[L]W|[L]AO|[L]AJ|[L]AF|[L/M]AC|[L/M]AJ|[L/M]AE|[M-REAL]AG|[L]AO|[L]AO|[L/M]AF|[L]AO|[L]U|[L]L|[L]AH|[L]AO|[L]AE|[L]M|[L]AE|[L]R|[L/M]AM|[M-REAL]AK|[M-INVI]t31t29|[M-INVI]t36t29|[M-REAL]AD|[L]H|[L]J|[L/M]C|[M-INVI]t2t14|[L/M]O|[M-REAL]S|[M-REAL]R|[L]AJ|[L/M]P|[M-INVI]t15t3|[M-REAL]D|[L]AK|[L/M]B
5,"instance_48",1,Yes,"984,00","64,00","984,00","0,34","984,00","1.200,00","1.340,00","0,34","187,00","0,28","1.372,00","0,28",[L]AK|[L/M]A|[L]AM|[L/M]C|[M-INVI]t2t14|[M-REAL]O|[M-REAL]S|[M-REAL]U|[M-REAL]W|[L/M]V|[L]F|[L]S|[L]AF|[L/M]T|[M-REAL]P|[M-REAL]X|[M-REAL]AA|[M-REAL]AB|[L]AF|[L]AK|[L]D|[L]U|[L/M]Z|[L/M]Y|[M-REAL]O|[L]X|[L/M]S|[L/M]W|[L/M]U|[L]AL|[L]AK|[L]AG|[L]P|[L]AJ|[L]AB|[L]AJ|[L]R|[L/M]V|[L]AC|[L]AE|[L]AA|[L]I|[L]AO|[L]AH|[L]AO|[L]P|[L/M]T|[L/M]P|[M-INVI]t15t3|[L/M]D|[M-REAL]AC|[M-REAL]AJ|[L]O|[L]AE|[L]O|[L]Z|[L/M]AE|[L]AM|[L]C|[L/M]AL|[L]AG|[L]O|[L]T|[L/M]AG|[L/M]AF|[M-INVI]t31t29|[L]AJ|[L]H|[L]AF|[L]AJ|[L]N|[L/M]AK|[M-INVI]t36t29|[M-REAL]AD|[M-REAL]C|[M-REAL]E|[M-REAL]K|[L]AF|[L]AO|[L]X|[L/M]M|[L]D|[L/M]N|[L]AD|[L/M]G|[M-REAL]I|[M-REAL]J|[L]AE|[L/M]L|[L]Y|[L/M]H|[M-REAL]F|[M-REAL]D|[L]AD|[L/M]AC|[L]C|[L/M]AE|[L]W|[L]S|[L]AK|[L]V|[L]D|[L]V|[L/M]AJ|[M-REAL]AL|[L]E|[L/M]AK|[L]AI|[L/M]AG|[M-REAL]AF|[M-INVI]t31t29|[M-INVI]t36t29|[M-REAL]AD|[M-REAL]C|[M-INVI]t2t14|[M-REAL]O|[M-REAL]S|[L/M]W|[M-REAL]V|[L/M]U|[M-REAL]T|[L/M]P|[M-INVI]t15t3|[L/M]D|[L/M]AC|[L]K|[L/M]AJ|[L/M]AE|[L/M]AN|[M-REAL]AK|[L]AB|[L]J|[L]O|[L/M]AO|[M-REAL]AJ|[L]G|[L]AI|[L/M]AM|[L]S|[L]W|[L/M]AK|[M-REAL]AO|[L]AA|[L]AG|[L]F|[L]C|[L]M|[L/M]AJ|[L]O|[L]I|[L]J|[L/M]AG|[L]L|[L]E|[L/M]AM|[L/M]AK|[M-REAL]AO|[L]AC|[L]K|[L/M]AJ|[L/M]AL|[L]AD|[L]T|[L/M]AF|[L/M]AI|[L/M]AE|[M-REAL]AG|[M-REAL]AF|[M-INVI]t31t29|[M-REAL]AK|[M-INVI]t36t29|[M-REAL]AD|[L/M]C|[M-INVI]t2t14|[M-REAL]O|[L]AD|[L]AF|[L]P|[L/M]S|[L/M]U|[M-REAL]V|[M-REAL]W|[M-REAL]T|[M-REAL]P|[M-INVI]t15t3|[M-REAL]D|[L/M]B
6,"instance_427",1,Yes,"704,00","67,00","704,00","0,40","704,00","865,00","1.050,00","0,40","168,00","0,35","1.082,00","0,35",[M-REAL]A|[M-REAL]C|[M-INVI]t2t14|[M-REAL]O|[L]W|[L/M]S|[M-REAL]U|[M-REAL]V|[L]O|[L]D|[L]AD|[L]N|[L]M|[L]L|[L]W|[L/M]W|[L/M]T|[M-REAL]P|[L]Z|[L/M]X|[M-REAL]AB|[L/M]Z|[L]K|[L/M]AA|[L/M]Y|[L/M]O|[M-REAL]S|[M-REAL]W|[L]D|[L/M]U|[L/M]V|[M-REAL]T|[L]V|[L]L|[L/M]P|[M-INVI]t15t3|[L]P|[L/M]D|[M-REAL]AC|[M-REAL]AE|[M-REAL]AJ|[L]G|[L/M]AN|[L/M]AK|[L]G|[L]E|[L/M]AH|[M-REAL]AF|[M-INVI]t31t29|[M-INVI]t36t29|[L]P|[L]AB|[L/M]AD|[L/M]C|[M-INVI]t2t14|[M-REAL]O|[L]AJ|[L/M]S|[M-REAL]W|[M-REAL]U|[L]Z|[L/M]V|[L/M]T|[M-REAL]P|[L/M]X|[M-REAL]Z|[M-REAL]AA|[L]S|[L]E|[L/M]AB|[M-REAL]Y|[L/M]O|[L/M]S|[M-REAL]V|[L/M]U|[L/M]W|[L]AM|[L/M]T|[M-REAL]P|[L/M]X|[M-REAL]AB|[M-REAL]Z|[M-REAL]AA|[L]U|[L]S|[L/M]Y|[L/M]O|[M-REAL]S|[L]AD|[L]P|[L/M]R|[L/M]P|[M-INVI]t15t3|[M-REAL]D|[L]C|[L/M]AC|[M-REAL]AJ|[M-REAL]AL|[L]AE|[L]H|[L/M]AE|[L/M]AG|[L/M]AK|[L/M]AF|[L/M]AO|[L/M]AJ|[L/M]AM|[M-REAL]AK|[M-INVI]t31t29|[M-INVI]t36t29|[M-REAL]AD|[M-REAL]C|[M-REAL]E|[M-REAL]G|[L/M]J|[M-REAL]I|[M-REAL]H|[L]T|[L/M]K|[M-REAL]M|[M-REAL]N|[M-REAL]L|[L]C|[L]C|[L/M]F|[L]AB|[L]AA|[L]A|[L]J|[L/M]D|[L]AH|[L]F|[L/M]AC|[L/M]AE|[M-REAL]AG|[L/M]AJ|[L]N|[L/M]AM|[L]H|[L/M]AK|[M-REAL]AO|[L/M]AF|[L]AA|[L]M|[L/M]AJ|[M-REAL]AL|[L]AF|[L/M]AK|[M-INVI]t31t29|[M-INVI]t36t29|[M-REAL]AD|[M-REAL]C|[M-INVI]t2t14|[M-REAL]O|[M-REAL]S|[M-REAL]W|[L]AC|[L]I|[L/M]V|[L/M]U|[M-REAL]T|[M-REAL]P|[M-INVI]t15t3|[M-REAL]D|[L]I|[L]O|[L]Y|[L/M]B
7,"instance_383",1,Yes,"730,00","63,00","730,00","0,38","730,00","856,00","1.020,00","0,38","166,00","0,31","1.052,00","0,31",[L/M]A|[M-REAL]C|[M-REAL]E|[M-REAL]K|[M-REAL]G|[M-REAL]N|[L]AH|[L/M]M|[L]K|[L]AJ|[L]U|[L]O|[L/M]J|[L]C|[L/M]I|[L/M]L|[L/M]H|[L]AF|[L/M]F|[M-REAL]D|[M-REAL]AC|[M-REAL]AJ|[L]P|[L]AE|[L]O|[L/M]AE|[L/M]AN|[L/M]AG|[L]AJ|[L]V|[L]N|[L]AJ|[L/M]AK|[M-REAL]AO|[L]AL|[L/M]AF|[M-INVI]t31t29|[L]C|[L/M]AJ|[L/M]AL|[L]C|[L/M]AK|[M-INVI]t36t29|[L/M]AD|[M-REAL]C|[M-INVI]t2t14|[M-REAL]O|[L]AF|[L]AE|[L/M]S|[L/M]R|[M-REAL]P|[M-INVI]t15t3|[M-REAL]D|[L/M]AC|[M-REAL]AE|[M-REAL]AG|[M-REAL]AF|[L]AO|[L]D|[L]P|[L]O|[L/M]AJ|[L]C|[L/M]AM|[L]F|[L/M]AK|[M-REAL]AO|[M-REAL]AJ|[M-INVI]t31t29|[L/M]AL|[L]AC|[L]E|[L/M]AK|[M-INVI]t36t29|[M-REAL]AD|[M-REAL]C|[M-INVI]t2t14|[M-REAL]O|[L/M]S|[M-REAL]U|[M-REAL]V|[L]AK|[L/M]W|[L/M]T|[L/M]P|[M-INVI]t15t3|[L/M]D|[M-REAL]AC|[M-REAL]AJ|[M-REAL]AL|[M-REAL]AK|[M-INVI]t36t29|[L/M]AE|[M-REAL]AG|[L/M]AF|[M-INVI]t31t29|[M-REAL]AD|[L]AC|[L/M]C|[M-INVI]t2t14|[M-REAL]O|[M-REAL]S|[L/M]U|[L]AB|[L]AD|[L]AN|[L]E|[L]X|[L]S|[L/M]W|[L/M]V|[L]G|[L]N|[L]W|[L/M]T|[M-REAL]P|[M-REAL]X|[M-REAL]AB|[M-REAL]AA|[L]AD|[L]AC|[L/M]Z|[L]B|[L/M]Y|[M-REAL]O|[L]H|[L/M]S|[M-REAL]R|[M-REAL]P|[M-INVI]t15t3|[L]AK|[L]AA|[L/M]D|[M-REAL]AC|[L/M]AJ|[M-REAL]AL|[M-REAL]AK|[M-REAL]AE|[M-REAL]AG|[M-REAL]AF|[M-INVI]t31t29|[M-INVI]t36t29|[L/M]AD|[M-REAL]C|[M-REAL]E|[L]D|[L]U|[L]P|[L]AG|[L]O|[L]AO|[L/M]K|[L/M]G|[L/M]M|[L/M]J|[L/M]I|[M-REAL]N|[M-REAL]H|[L]V|[L]AG|[L/M]L|[M-REAL]F|[L/M]D|[M-REAL]B|[L]T
8,"instance_133",1,Yes,"754,00","53,00","754,00","0,35","754,00","624,00","1.060,00","0,35","153,00","0,31","1.092,00","0,31",[M-REAL]A|[M-REAL]C|[M-INVI]t2t14|[L]X|[L]W|[L/M]O|[M-REAL]S|[M-REAL]U|[L]AE|[L]O|[L]P|[L]P|[L]O|[L]AK|[L/M]V|[L]Z|[L]AB|[L/M]W|[L/M]T|[L/M]P|[M-REAL]X|[M-REAL]Z|[M-REAL]AA|[L]A|[L/M]AB|[L]S|[L]T|[L/M]Y|[M-REAL]O|[L]T|[L]AF|[L/M]S|[M-REAL]W|[M-REAL]V|[L]AD|[L/M]U|[M-REAL]T|[L/M]P|[L/M]X|[M-REAL]AB|[L/M]AA|[M-REAL]Z|[L]AN|[L]AJ|[L/M]Y|[L/M]O|[L]C|[L/M]S|[L]AI|[L]C|[L/M]V|[L/M]U|[L/M]W|[M-REAL]T|[M-REAL]P|[M-INVI]t15t3|[L]AA|[L]AK|[L/M]D|[L/M]AC|[M-REAL]AJ|[M-REAL]AL|[M-REAL]AK|[L/M]AE|[L]S|[L]P|[L]AB|[L/M]AH|[M-INVI]t36t29|[L]S|[L/M]AF|[M-INVI]t31t29|[M-REAL]AD|[M-REAL]C|[M-INVI]t2t14|[L]T|[L/M]O|[L]Y|[L/M]S|[L/M]U|[L/M]V|[L]AH|[L/M]W|[M-REAL]T|[M-REAL]P|[L/M]X|[M-REAL]AA|[M-REAL]Z|[L]B|[L/M]AB|[M-REAL]Y|[M-REAL]O|[L/M]S|[L]P|[L/M]W|[L]Z|[L]W|[L]D|[L]Y|[L]D|[L]AC|[L]Z|[L]R|[L]X|[L]AE|[L]AF|[L]U|[L/M]U|[L]U|[L/M]V|[M-REAL]T|[L]U|[L/M]P|[M-REAL]X|[M-REAL]AB|[L]O|[L]AM|[L]T|[L/M]AA|[L/M]Z|[L/M]Y|[M-REAL]O|[M-REAL]S|[M-REAL]U|[M-REAL]W|[L]C|[L]AA|[L/M]V|[M-REAL]T|[M-REAL]P|[M-REAL]X|[L]V|[L]AJ|[L/M]Z|[L]X|[L]T|[L/M]AB|[L]AD|[L/M]AA|[M-REAL]Y|[L/M]O|[L/M]S|[M-REAL]U|[L]AH|[L]P|[L/M]W|[L]O|[L/M]V|[L/M]T|[M-REAL]P|[M-INVI]t15t3|[M-REAL]D|[M-REAL]B
9,"instance_83",1,Yes,"726,00","53,00","726,00","0,37","726,00","850,00","1.100,00","0,37","143,00","0,36","1.132,00","0,36",[L]AI|[L]AE|[L]AG|[L/M]A|[M-REAL]C|[M-REAL]E|[L]AF|[L]AG|[L]F|[L/M]G|[L/M]K|[M-REAL]J|[M-REAL]M|[M-REAL]I|[M-REAL]H|[L]G|[L/M]N|[L/M]L|[L]AG|[L/M]F|[L]I|[L/M]D|[L]AI|[L/M]AC|[L/M]AJ|[M-REAL]AE|[L]G|[L]AN|[L/M]AH|[L/M]AF|[L]L|[L]F|[L]AE|[L/M]AM|[L/M]AK|[L]AD|[L/M]AI|[L]D|[L/M]AE|[M-REAL]AG|[M-INVI]t36t29|[M-REAL]AF|[M-INVI]t31t29|[L/M]AD|[L]AG|[L]M|[L/M]C|[L]AE|[L/M]E|[M-REAL]G|[L]M|[L]C|[L]L|[L]AI|[L]AF|[L]AG|[L]E|[L/M]K|[L/M]M|[L/M]N|[M-REAL]L|[M-REAL]I|[L/M]J|[M-REAL]H|[L]N|[L]AI|[L/M]F|[L/M]D|[M-REAL]AC|[L]J|[L]AD|[L]AE|[L/M]AJ|[L/M]AM|[L/M]AE|[L]AI|[L/M]AK|[M-REAL]AO|[L/M]AJ|[L/M]AG|[L/M]AF|[M-REAL]AI|[L/M]AE|[L]K|[L]AE|[L/M]AG|[L/M]AM|[M-REAL]AK|[L]AE|[L]AE|[L]G|[L]C|[L]K|[L]AF|[L/M]AO|[L/M]AF|[L]H|[L/M]AI|[M-REAL]AE|[L]D|[L]I|[L]H|[L]AK|[L/M]AJ|[M-REAL]AL|[L]B|[L/M]AG|[M-REAL]AF|[L]J|[L]E|[L/M]AI|[L/M]AK|[L]N|[L]AF|[L/M]AE|[L]AF|[L]I|[L]I|[L/M]AH|[M-INVI]t36t29|[L/M]AF|[M-INVI]t31t29|[M-REAL]AD|[L/M]C|[M-REAL]E|[M-REAL]K|[L]AC|[L]AF|[L/M]M|[M-REAL]G|[M-REAL]N|[M-REAL]I|[L]H|[L]AC|[L/M]J|[L]E|[L]AG|[L/M]L|[L]AF|[L/M]H|[M-REAL]F|[M-REAL]D|[M-REAL]B
10,"instance_195",1,Yes,"640,00","58,00","640,00","0,41","640,00","869,00","940,00","0,41","143,00","0,34","972,00","0,34",[L/M]A|[L/M]C|[M-INVI]t2t14|[M-REAL]O|[M-REAL]S|[M-REAL]R|[M-REAL]P|[M-INVI]t15t3|[L]AF|[L/M]D|[M-REAL]AC|[L/M]AE|[M-REAL]AG|[M-REAL]AF|[L]AD|[L/M]AJ|[L]S|[L/M]AL|[L/M]AK|[L]F|[L/M]AO|[M-REAL]AJ|[L]AO|[L/M]AM|[M-REAL]AK|[L/M]AO|[L]AK|[L]D|[L/M]AJ|[L/M]AM|[L/M]AK|[M-INVI]t36t29|[M-INVI]t31t29|[L/M]AD|[L]AM|[L]AJ|[L]AO|[L/M]C|[M-INVI]t2t14|[L/M]O|[M-REAL]S|[M-REAL]V|[L]AF|[L]C|[L]AG|[L]O|[L]AJ|[L]AJ|[L/M]U|[L/M]W|[M-REAL]T|[L]AJ|[L/M]P|[M-INVI]t15t3|[L/M]D|[M-REAL]AC|[M-REAL]AJ|[L]AE|[L]T|[L/M]AE|[L]AF|[L]AK|[L/M]AM|[L/M]AK|[M-REAL]AO|[L/M]AG|[L/M]AJ|[L]AJ|[L/M]AF|[L]AE|[L]E|[L/M]AN|[M-REAL]AK|[M-INVI]t31t29|[M-INVI]t36t29|[M-REAL]AD|[M-REAL]C|[M-INVI]t2t14|[M-REAL]O|[M-REAL]S|[M-REAL]U|[L/M]W|[L]J|[L]AD|[L/M]V|[L]I|[L]AC|[L]AC|[L]AO|[L]P|[L/M]T|[L]N|[L/M]P|[M-INVI]t15t3|[L]L|[L/M]D|[M-REAL]AC|[M-REAL]AJ|[L/M]AE|[L]AI|[L/M]AN|[L]S|[L/M]AG|[L/M]AK|[M-REAL]AO|[L]R|[L]H|[L]AM|[L/M]AJ|[L]V|[L]G|[L]AC|[L]B|[L]AO|[L]AG|[L]O|[L/M]AF|[L/M]AI|[M-REAL]AE|[L/M]AG|[M-REAL]AF|[M-REAL]AL|[L/M]AK|[M-INVI]t31t29|[M-INVI]t36t29|[M-REAL]AD|[L/M]C|[M-INVI]t2t14|[M-REAL]O|[L/M]S|[M-REAL]V|[M-REAL]W|[L]AK|[L/M]U|[M-REAL]T|[M-REAL]P|[M-INVI]t15t3|[M-REAL]D|[M-REAL]B|[L]K|[L]AM|[L]AK|[L]M
