Result of replaying BPIC15_1 on BPIC15_1.xes

Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost Lo","Raw Fitness Cost Hi","Sync-Move Fitness","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Raw Fitness Perc Hi","Raw Fitness Cost Max","Raw Fitness Perc Lo",Match
1,"2901823|2928203|3020566|3024669|3172017|3305073|3356696|3382109",8,No,"0,00","0,00","1,00","0,00","27,00","60,00","1,00","68,00","1,00",[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau from tree|[L/M]01_HOOFD_010|[L/M]01_HOOFD_030_2|[M-INVI]tau from tree|[L/M]01_HOOFD_015|[L/M]01_HOOFD_020|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]01_HOOFD_030_1|[M-INVI]tau from tree|[L/M]01_HOOFD_040|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree
2,"2911919|2967994|3178187|3288710|3430762|3506166",6,No,"0,00","0,00","1,00","0,00","106,00","70,00","1,00","78,00","1,00",[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau from tree|[L/M]01_HOOFD_010|[L/M]01_HOOFD_030_2|[M-INVI]tau from tree|[L/M]01_HOOFD_015|[L/M]01_HOOFD_020|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]01_HOOFD_030_1|[M-INVI]tau from tree|[L/M]01_HOOFD_040|[M-INVI]tau from tree|[L/M]01_HOOFD_060|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree
3,"12095533|12336689|12904946|12993808",4,No,"0,00","0,00","1,00","0,00","242,00","130,00","1,00","138,00","1,00",[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_010|[L/M]01_HOOFD_011|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau from tree|[L/M]01_HOOFD_020|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]02_DRZ_010|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]04_BPT_005|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau from tree|[L/M]01_HOOFD_065_0|[M-INVI]tau from tree|[L/M]01_HOOFD_090|[M-INVI]tau from tree|[L/M]01_HOOFD_100_0|[M-INVI]tau from tree|[L/M]01_HOOFD_015|[L/M]01_HOOFD_101|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_061|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]01_HOOFD_030_1|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_030_2|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree
4,"4809925|4919677|4972781",3,No,"0,00","0,00","1,00","0,00","177,00","120,00","1,00","128,00","1,00",[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_010|[L/M]01_HOOFD_011|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau from tree|[L/M]05_EIND_010|[M-INVI]tau from tree|[L/M]01_HOOFD_015|[L/M]01_HOOFD_020|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]01_HOOFD_030_1|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_030_2|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]02_DRZ_010|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]04_BPT_005|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau from tree|[L/M]01_HOOFD_065_2|[M-INVI]tau from tree|[L/M]01_HOOFD_065_1|[M-INVI]tau from tree|[L/M]01_HOOFD_101|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree
5,"2997110|3004257|3076709",3,No,"0,00","0,00","1,00","0,00","126,00","50,00","1,00","58,00","1,00",[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau from tree|[L/M]01_HOOFD_010|[L/M]01_HOOFD_030_2|[M-INVI]tau from tree|[L/M]01_HOOFD_015|[L/M]01_HOOFD_020|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]01_HOOFD_030_1|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree
6,"4322716|4336128",2,No,"0,00","0,00","1,00","0,00","96,00","380,00","1,00","388,00","1,00",[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]01_HOOFD_010|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_011|[L/M]01_HOOFD_015|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau from tree|[L/M]01_HOOFD_020|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]01_HOOFD_030_1|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_030_2|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]02_DRZ_010|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]04_BPT_005|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau from tree|[L/M]01_HOOFD_065_1|[M-INVI]tau from tree|[L/M]01_HOOFD_065_2|[M-INVI]tau from tree|[L/M]01_HOOFD_101|[M-INVI]tau from tree|[L/M]01_HOOFD_050|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[L/M]01_HOOFD_055|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_110|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_120|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_180|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]09_AWB45_005|[M-INVI]tau from tree|[L/M]01_HOOFD_195|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]01_HOOFD_200|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau start|[L/M]01_HOOFD_250|[M-INVI]tau from tree|[L/M]01_HOOFD_260|[M-INVI]tau from tree|[L/M]01_HOOFD_330|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]09_AH_I_010|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[L/M]01_HOOFD_375|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_370|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[L/M]01_HOOFD_380|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[L/M]01_HOOFD_430|[M-INVI]tau from tree|[L/M]11_AH_II_010|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_480|[M-INVI]tau from tree|[L/M]01_HOOFD_490_1|[M-INVI]tau from tree|[L/M]01_HOOFD_490_2|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_491|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[L/M]01_HOOFD_495|[M-INVI]tau from tree|[L/M]01_HOOFD_510_1|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_510_2|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau from tree|[L/M]01_HOOFD_520|[M-INVI]tau from tree|[L/M]01_HOOFD_505|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau start|[L/M]01_HOOFD_530|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree
7,"2831567|2868276",2,No,"0,00","0,00","1,00","0,00","855,00","380,00","1,00","388,00","1,00",[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau from tree|[L/M]01_HOOFD_010|[L/M]01_HOOFD_065_2|[M-INVI]tau from tree|[L/M]01_HOOFD_015|[L/M]01_HOOFD_020|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]01_HOOFD_040|[M-INVI]tau from tree|[L/M]01_HOOFD_060|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_065_1|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]01_HOOFD_100|[M-INVI]tau from tree|[L/M]01_HOOFD_100|[M-INVI]tau from tree|[L/M]01_HOOFD_490_3|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[L/M]01_HOOFD_190_2|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_110|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_120|[M-INVI]tau from tree|[L/M]01_HOOFD_130|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_180|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[L/M]01_HOOFD_190_1|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_200|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[L/M]01_HOOFD_205|[M-INVI]tau from tree|[L/M]01_HOOFD_270|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_250|[M-INVI]tau from tree|[L/M]01_HOOFD_260|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]09_AH_I_010|[M-INVI]tau from tree|[L/M]01_HOOFD_370|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[L/M]01_HOOFD_375|[M-INVI]tau from tree|[L/M]01_HOOFD_380|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_050|[M-INVI]tau from tree|[L/M]05_EIND_010|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]06_VD_010|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[L/M]01_HOOFD_430|[M-INVI]tau from tree|[L/M]01_HOOFD_470|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_480|[M-INVI]tau from tree|[L/M]01_HOOFD_490_1|[M-INVI]tau from tree|[L/M]01_HOOFD_490_2|[M-INVI]tau from tree|[L/M]01_HOOFD_500|[M-INVI]tau from tree|[L/M]01_HOOFD_510_1|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_520|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_510_2|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[L/M]01_HOOFD_530|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree
8,"12790913|12907069",2,No,"0,00","0,00","1,00","0,00","25,00","130,00","1,00","138,00","1,00",[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_010|[L/M]01_HOOFD_011|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau from tree|[L/M]01_HOOFD_020|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]02_DRZ_010|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]04_BPT_005|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau from tree|[L/M]01_HOOFD_065_0|[M-INVI]tau from tree|[L/M]01_HOOFD_090|[M-INVI]tau from tree|[L/M]01_HOOFD_100_0|[M-INVI]tau from tree|[L/M]01_HOOFD_101|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_061|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]01_HOOFD_030_1|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_015|[L/M]01_HOOFD_030_2|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree
9,"13090033|13155051",2,No,"0,00","0,00","1,00","0,00","27,00","130,00","1,00","138,00","1,00",[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_010|[L/M]01_HOOFD_011|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau from tree|[L/M]01_HOOFD_020|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]02_DRZ_010|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]04_BPT_005|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau from tree|[L/M]01_HOOFD_065_0|[M-INVI]tau from tree|[L/M]01_HOOFD_090|[M-INVI]tau from tree|[L/M]01_HOOFD_100_0|[M-INVI]tau from tree|[L/M]01_HOOFD_101|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]01_HOOFD_030_1|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_015|[L/M]01_HOOFD_061|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau from tree|[L/M]01_HOOFD_030_2|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree
10,"13109180|13113275",2,No,"0,00","0,00","1,00","0,00","20,00","130,00","1,00","138,00","1,00",[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau start|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_010|[L/M]01_HOOFD_011|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau from tree|[L/M]01_HOOFD_020|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]02_DRZ_010|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]04_BPT_005|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau from tree|[L/M]01_HOOFD_065_0|[M-INVI]tau from tree|[L/M]01_HOOFD_090|[M-INVI]tau from tree|[L/M]01_HOOFD_100_0|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]01_HOOFD_030_1|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]01_HOOFD_061|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau from tree|[L/M]01_HOOFD_101|[M-INVI]tau from tree|[L/M]01_HOOFD_015|[L/M]01_HOOFD_030_2|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree
