Result of replaying M8.tpn on Process 1 (filtered on event attributes)

Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost Lo","Decomposed Sync-Move Numerator","Raw Fitness Cost Hi","Sync-Move Fitness","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Decomposed Sync-Move Fitness","Decomposed Sync-Move Denominator","Raw Fitness Perc Hi","Raw Fitness Cost Max","Raw Fitness Perc Lo",Match
1,"instance_64|instance_63|instance_179|instance_52|instance_30|instance_130|instance_33|instance_382|instance_361|instance_483|instance_117|instance_97|instance_59|instance_459|instance_355|instance_317|instance_229|instance_116|instance_233|instance_125|instance_479|instance_480|instance_264|instance_360|instance_364|instance_467|instance_119|instance_191|instance_111|instance_46",30,Yes,"0,00","8,00","0,00","1,00","0,00","3,00","80,00","1,00","8,00","1,00","112,00","1,00",[L/M]A|[L/M]C|[L/M]E|[L/M]H|[L/M]G|[L/M]F|[L/M]D|[L/M]B
2,"instance_171|instance_81|instance_273|instance_279|instance_47|instance_406|instance_330|instance_450|instance_84|instance_168",10,Yes,"0,00","8,00","0,00","1,00","0,00","3,00","80,00","1,00","8,00","1,00","112,00","1,00",[L/M]A|[L/M]C|[L/M]E|[L/M]G|[L/M]H|[L/M]F|[L/M]D|[L/M]B
3,"instance_165|instance_161|instance_235|instance_32|instance_143|instance_367",6,Yes,"0,00","9,00","0,00","1,00","0,00","1,00","90,00","1,00","9,00","1,00","122,00","1,00",[L/M]A|[L/M]C|[L/M]I|[L/M]M|[L/M]L|[L/M]K|[L/M]J|[L/M]D|[L/M]B
4,"instance_366|instance_48|instance_322|instance_318|instance_404",5,Yes,"0,00","9,00","0,00","1,00","0,00","1,00","90,00","1,00","9,00","1,00","122,00","1,00",[L/M]A|[L/M]C|[L/M]I|[L/M]L|[L/M]M|[L/M]K|[L/M]J|[L/M]D|[L/M]B
5,"instance_148|instance_350|instance_421",3,Yes,"14,00","7,00","14,00","0,78","14,00","0,00","80,00","0,78","9,00","0,88","112,00","0,88",[L/M]A|[M-REAL]C|[L/M]E|[L]C|[L/M]H|[L/M]G|[L/M]F|[L/M]D|[L/M]B
6,"instance_417|instance_222|instance_415",3,Yes,"14,00","7,00","14,00","0,78","14,00","0,00","80,00","0,78","9,00","0,88","112,00","0,88",[L/M]A|[L/M]C|[L]H|[L/M]E|[M-REAL]H|[L/M]G|[L/M]F|[L/M]D|[L/M]B
7,"instance_349|instance_428|instance_19",3,Yes,"0,00","9,00","0,00","1,00","0,00","1,00","90,00","1,00","9,00","1,00","122,00","1,00",[L/M]A|[L/M]C|[L/M]I|[L/M]M|[L/M]K|[L/M]L|[L/M]J|[L/M]D|[L/M]B
8,"instance_22|instance_481|instance_219",3,Yes,"14,00","7,00","14,00","0,78","14,00","1,00","80,00","0,78","9,00","0,88","112,00","0,88",[L/M]A|[L/M]C|[L]D|[L/M]E|[L/M]H|[L/M]G|[L/M]F|[M-REAL]D|[L/M]B
9,"instance_79|instance_465",2,Yes,"14,00","8,00","14,00","0,80","14,00","0,00","90,00","0,80","10,00","0,89","122,00","0,89",[L/M]A|[L]J|[L/M]C|[L/M]I|[L/M]M|[L/M]K|[L/M]L|[M-REAL]J|[L/M]D|[L/M]B
10,"instance_486|instance_157",2,Yes,"28,00","6,00","28,00","0,60","28,00","0,00","80,00","0,60","10,00","0,75","112,00","0,75",[L/M]A|[L/M]C|[L/M]E|[L/M]H|[M-REAL]G|[M-REAL]F|[L/M]D|[L]F|[L]G|[L/M]B
11,"instance_403|instance_109",2,Yes,"14,00","8,00","14,00","0,80","14,00","0,00","90,00","0,80","10,00","0,89","122,00","0,89",[L/M]A|[L/M]C|[L/M]I|[L/M]L|[L/M]K|[L/M]M|[L]B|[L/M]J|[L/M]D|[M-REAL]B
12,"instance_351|instance_329",2,Yes,"28,00","6,00","28,00","0,60","28,00","0,00","80,00","0,60","10,00","0,75","112,00","0,75",[L/M]A|[L/M]C|[M-REAL]E|[L]B|[L/M]H|[L/M]G|[L/M]F|[L/M]D|[M-REAL]B|[L]E
13,"instance_334|instance_381",2,Yes,"28,00","6,00","28,00","0,60","28,00","0,00","80,00","0,60","10,00","0,75","112,00","0,75",[M-REAL]A|[L/M]C|[L]A|[L]H|[L/M]E|[M-REAL]H|[L/M]G|[L/M]F|[L/M]D|[L/M]B
