Result of replaying M4.tpn on Process 3 (filtered on event attributes)

Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost Lo","Decomposed Sync-Move Numerator","Raw Fitness Cost Hi","Sync-Move Fitness","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Decomposed Sync-Move Fitness","Decomposed Sync-Move Denominator","Raw Fitness Perc Hi","Raw Fitness Cost Max","Raw Fitness Perc Lo",Match
1,"instance_83|instance_314",2,Yes,"14.00","12.00","14.00","0.86","14.00","2.00","110.00","0.86","14.00","0.90","142.00","0.90",[L/M]A|[L/M]C|[L/M]AA|[M-INVI]t26t28|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[M-REAL]AD|[M-INVI]t29t27|[L/M]AB|[L]AD|[L/M]D|[L/M]B
2,"instance_389|instance_378",2,Yes,"12.00","10.00","12.00","0.77","12.00","4.00","80.00","0.77","13.00","0.89","112.00","0.89",[L/M]A|[L/M]C|[L/M]AA|[M-INVI]t26t28|[M-REAL]AC|[L/M]AD|[M-REAL]AE|[L/M]AC|[M-REAL]AD|[M-INVI]t29t27|[L/M]AB|[L/M]D|[L/M]B
3,"instance_128|instance_454",2,Yes,"14.00","9.00","14.00","0.82","14.00","4.00","80.00","0.82","11.00","0.88","112.00","0.88",[L]AD|[L/M]A|[L/M]C|[L/M]AA|[M-INVI]t26t28|[L/M]AC|[M-REAL]AD|[M-INVI]t29t27|[L/M]AB|[L/M]D|[L/M]B
4,"instance_407|instance_0",2,Yes,"0.00","10.00","0.00","1.00","0.00","3.00","80.00","1.00","10.00","1.00","112.00","1.00",[L/M]A|[L/M]C|[L/M]AA|[M-INVI]t26t28|[L/M]AC|[L/M]AD|[M-INVI]t29t27|[L/M]AB|[L/M]D|[L/M]B
5,"instance_102",1,Yes,"1,124.00","104.00","1,124.00","0.40","1,124.00","545.00","1,680.00","0.40","259.00","0.34","1,712.00","0.34",[L/M]A|[M-REAL]C|[L]F|[L]N|[L/M]AA|[M-INVI]t26t28|[L/M]AC|[L/M]AD|[M-INVI]t29t27|[M-REAL]AB|[L]AL|[L/M]D|[L]O|[L/M]AK|[M-REAL]AM|[L]AB|[L/M]AL|[L]AE|[L/M]AO|[M-REAL]AQ|[M-REAL]AP|[L]D|[L]N|[L]AL|[L]AO|[L/M]C|[M-INVI]t2t4|[M-REAL]E|[M-INVI]t4t6|[M-REAL]G|[L]AQ|[L]AR|[L]AC|[L/M]I|[L]S|[L/M]H|[M-INVI]t7t5|[M-REAL]F|[L]M|[L/M]W|[M-REAL]Y|[L]AK|[L/M]Z|[M-REAL]X|[L]Z|[L/M]E|[L]AO|[L/M]R|[M-REAL]T|[M-REAL]S|[L]AK|[L]AP|[L]AL|[L/M]F|[L/M]W|[M-REAL]Y|[L]AQ|[L/M]Z|[L/M]X|[L]AO|[L]E|[L/M]E|[L/M]M|[L/M]P|[M-REAL]N|[L]D|[L/M]F|[M-REAL]W|[M-REAL]Z|[M-REAL]Y|[L]S|[L]AA|[L/M]X|[M-REAL]E|[L]X|[L/M]R|[L/M]V|[M-REAL]S|[L/M]F|[M-INVI]t5t3|[L/M]D|[M-REAL]AK|[L]W|[L/M]AN|[L/M]AL|[M-REAL]AO|[L]Y|[L]M|[L]AD|[L/M]AQ|[M-REAL]AP|[L]AC|[L/M]C|[M-INVI]t2t4|[L]C|[L/M]E|[M-REAL]M|[L]G|[L/M]P|[L/M]N|[L/M]F|[M-REAL]W|[L]AG|[L]X|[L]X|[L/M]Y|[L]AL|[L/M]Z|[M-REAL]X|[L/M]E|[M-REAL]M|[L]E|[L]AQ|[L]AM|[L/M]O|[M-REAL]N|[L]AK|[L/M]F|[M-REAL]W|[M-REAL]Z|[L]M|[L]AO|[L/M]Y|[L]E|[L/M]X|[L/M]E|[M-INVI]t4t6|[M-REAL]G|[M-REAL]I|[L]F|[L]W|[L]F|[L/M]H|[M-INVI]t7t5|[L/M]F|[L/M]W|[L/M]Y|[L]AP|[L/M]Z|[M-REAL]X|[M-REAL]E|[M-REAL]M|[M-REAL]O|[M-REAL]N|[M-REAL]F|[M-INVI]t5t3|[L]AR|[L]AA|[L/M]D|[L/M]AK|[M-REAL]AM|[L/M]AL|[M-REAL]AO|[M-REAL]AQ|[M-REAL]AP|[L]AB|[L/M]C|[L]AB|[L]Y|[L/M]AA|[M-INVI]t26t28|[M-REAL]AC|[L/M]AD|[L/M]AE|[L/M]AC|[M-REAL]AD|[M-INVI]t29t27|[L/M]AB|[M-REAL]D|[M-REAL]AK|[L/M]AM|[M-REAL]AL|[M-REAL]AO|[M-REAL]AQ|[L]AK|[L]Y|[L]AB|[L/M]AP|[L/M]C|[M-REAL]AA|[M-INVI]t26t28|[L]X|[L/M]AC|[L/M]AD|[M-INVI]t29t27|[M-REAL]AB|[M-REAL]D|[L/M]AK|[M-REAL]AM|[M-REAL]AL|[M-REAL]AO|[M-REAL]AQ|[L]D|[L]M|[L]U|[L]N|[L/M]AP|[L]Z|[L]F|[L]AP|[L/M]C|[M-INVI]t2t4|[L/M]E|[L/M]M|[M-REAL]O|[L/M]N|[M-REAL]F|[L]B|[L/M]W|[L/M]Y|[M-REAL]Z|[M-REAL]X|[L/M]E|[M-INVI]t4t6|[M-REAL]G|[L]W|[L]AM|[L/M]J|[M-REAL]H|[M-INVI]t7t5|[M-REAL]F|[M-INVI]t5t3|[M-REAL]D|[M-REAL]AK|[L]C|[L/M]AN|[M-REAL]AL|[L/M]AO|[L]O|[L/M]AR|[L/M]AP|[L]P|[L]AH|[L]AF|[L]D|[L]Z|[L]AC|[L]D|[L]G|[L/M]C|[L/M]AA|[M-INVI]t26t28|[L/M]AC|[L/M]AD|[L/M]AE|[M-REAL]AC|[L]AP|[L/M]AD|[M-REAL]AE|[M-REAL]AC|[L]AN|[L/M]AD|[M-INVI]t29t27|[M-REAL]AB|[M-REAL]D|[M-REAL]B|[L]AO|[L]N|[L]AN
6,"instance_380",1,Yes,"1,016.00","120.00","1,016.00","0.47","1,016.00","676.00","1,760.00","0.47","257.00","0.43","1,792.00","0.43",[L/M]A|[M-REAL]C|[L/M]AA|[M-INVI]t26t31|[L/M]AF|[M-REAL]AH|[L/M]AG|[M-INVI]t32t27|[M-REAL]AB|[L]H|[L]L|[L]AO|[L/M]D|[L/M]AK|[L/M]AN|[M-REAL]AL|[L/M]AO|[L]AO|[L/M]AR|[L/M]AP|[L/M]C|[L/M]AA|[M-INVI]t26t31|[L]O|[L/M]AF|[L]AP|[L]M|[L/M]AI|[M-REAL]AG|[M-INVI]t32t27|[L]S|[L/M]AB|[M-REAL]D|[M-REAL]AK|[L]AB|[L/M]AN|[L]G|[L/M]AL|[M-REAL]AO|[M-REAL]AQ|[M-REAL]AP|[L]G|[L/M]C|[M-INVI]t2t4|[L]AQ|[L/M]E|[M-INVI]t4t6|[L]AL|[L]AF|[L]AI|[L]AH|[L]L|[L/M]G|[M-REAL]I|[L]F|[L/M]H|[M-INVI]t7t5|[L]H|[L/M]F|[L/M]W|[L/M]Y|[L]X|[L/M]Z|[M-REAL]X|[L]I|[L/M]E|[M-INVI]t4t6|[L/M]G|[L/M]I|[M-REAL]H|[L]AC|[L/M]L|[M-REAL]G|[L]AL|[L]Z|[L/M]J|[M-REAL]H|[M-INVI]t7t5|[M-REAL]F|[M-REAL]W|[L]C|[L]AL|[L]D|[L]I|[L/M]Z|[L]J|[L]AH|[L]R|[L/M]Y|[L/M]X|[M-REAL]E|[M-REAL]M|[L]G|[L]AG|[L/M]O|[L/M]N|[M-REAL]F|[M-INVI]t5t3|[L]G|[L/M]D|[L/M]AK|[L/M]AM|[M-REAL]AL|[L]H|[L/M]AO|[L/M]AR|[M-REAL]AP|[L]D|[L/M]C|[M-REAL]AA|[M-INVI]t26t28|[L]AP|[L]P|[L/M]AC|[L/M]AD|[M-INVI]t29t27|[L/M]AB|[M-REAL]D|[L/M]AK|[L]F|[L/M]AN|[L]W|[L/M]AL|[M-REAL]AO|[M-REAL]AQ|[L]D|[L]E|[L/M]AP|[M-REAL]C|[M-REAL]AA|[M-INVI]t26t31|[L]F|[L]AP|[L]E|[L]F|[L]AQ|[L]AE|[L/M]AF|[M-REAL]AH|[L/M]AG|[M-INVI]t32t27|[L/M]AB|[M-REAL]D|[M-REAL]AK|[L]T|[L/M]AN|[M-REAL]AL|[L]AK|[L]AC|[L/M]AO|[L/M]AQ|[L]M|[L/M]AP|[L/M]C|[M-INVI]t2t4|[L]W|[L/M]E|[M-REAL]R|[L/M]U|[M-REAL]S|[M-REAL]F|[M-REAL]W|[M-REAL]Z|[L]AK|[L]AN|[L/M]Y|[L/M]X|[L/M]E|[L/M]M|[M-REAL]O|[L]AD|[L/M]N|[L/M]F|[L/M]W|[L/M]Y|[L/M]Z|[L/M]X|[L/M]E|[M-INVI]t4t6|[L]F|[L]J|[L/M]G|[L]L|[L]AN|[L/M]I|[L/M]H|[L/M]L|[M-REAL]G|[M-REAL]I|[L]AR|[L]W|[L/M]H|[M-INVI]t7t5|[M-REAL]F|[M-INVI]t5t3|[L/M]D|[L/M]AK|[M-REAL]AM|[L]G|[L/M]AL|[L/M]AO|[L/M]AQ|[M-REAL]AP|[M-REAL]C|[L/M]AA|[M-INVI]t26t28|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[M-REAL]AC|[M-REAL]AD|[M-INVI]t29t27|[L]C|[L]H|[L]H|[L]AP|[L]AJ|[L/M]AB|[L/M]D|[M-REAL]AK|[M-REAL]AM|[L]F|[L/M]AL|[L/M]AO|[M-REAL]AQ|[M-REAL]AP|[M-REAL]C|[M-INVI]t2t4|[M-REAL]E|[L]Z|[L]K|[L]AG|[L]AA|[L]AA|[L/M]R|[M-REAL]T|[L/M]S|[M-REAL]F|[M-REAL]W|[M-REAL]Z|[L]AK|[L]C|[L/M]Y|[L]AD|[L/M]X|[L/M]E|[M-REAL]M|[M-REAL]O|[L]C|[L/M]N|[M-REAL]F|[M-INVI]t5t3|[L/M]D|[L/M]B
7,"instance_413",1,Yes,"876.00","112.00","876.00","0.48","876.00","524.00","1,560.00","0.48","232.00","0.45","1,592.00","0.45",[L/M]A|[L/M]C|[M-REAL]AA|[M-INVI]t26t31|[M-REAL]AF|[L]E|[L]X|[L]AD|[L/M]AH|[L/M]AG|[M-INVI]t32t27|[L]G|[L/M]AB|[L/M]D|[L/M]AK|[M-REAL]AM|[L/M]AL|[M-REAL]AO|[M-REAL]AQ|[M-REAL]AP|[M-REAL]C|[M-INVI]t2t4|[L]Q|[L]N|[L/M]E|[L/M]M|[M-REAL]O|[L]AQ|[L/M]N|[L/M]F|[M-REAL]W|[L]AK|[L/M]Y|[L/M]Z|[L/M]X|[L/M]E|[L/M]R|[M-REAL]T|[L]N|[L]Z|[L/M]S|[L/M]F|[L/M]W|[L]AL|[L/M]Y|[L/M]Z|[L/M]X|[L/M]E|[M-INVI]t4t6|[L]G|[L]AG|[L]AP|[L]AC|[L/M]G|[L/M]K|[L]AB|[L/M]H|[M-INVI]t7t5|[M-REAL]F|[M-INVI]t5t3|[L/M]D|[L]P|[L]AL|[L/M]AK|[M-REAL]AM|[L]D|[L/M]AL|[L/M]AO|[M-REAL]AQ|[L]W|[L]D|[L/M]AP|[L/M]C|[M-INVI]t2t4|[M-REAL]E|[M-INVI]t4t6|[M-REAL]G|[L/M]I|[M-REAL]H|[L]X|[L/M]L|[M-REAL]G|[L]AF|[L]F|[L/M]I|[L/M]H|[L/M]L|[L/M]G|[L/M]I|[L/M]H|[M-INVI]t7t5|[L/M]F|[M-REAL]W|[M-REAL]Z|[L/M]Y|[L/M]X|[L/M]E|[L]G|[L/M]M|[M-REAL]O|[L]AR|[L/M]N|[L/M]F|[L]C|[L/M]W|[M-REAL]Z|[L/M]Y|[L]AP|[L/M]X|[L/M]E|[M-INVI]t4t6|[M-REAL]G|[L/M]J|[L/M]H|[M-INVI]t7t5|[L/M]F|[M-INVI]t5t3|[L/M]D|[M-REAL]AK|[L]W|[L/M]AM|[L]Y|[L]AR|[L/M]AL|[M-REAL]AO|[L]M|[L]O|[L]W|[L]C|[L/M]AQ|[L]D|[L]Z|[L/M]AP|[M-REAL]C|[M-INVI]t2t4|[M-REAL]E|[M-REAL]R|[L]AF|[L]AA|[L]F|[L/M]U|[L/M]S|[M-REAL]F|[M-INVI]t5t3|[M-REAL]D|[L/M]AK|[L/M]AM|[M-REAL]AL|[M-REAL]AO|[L/M]AR|[M-REAL]AP|[M-REAL]C|[M-INVI]t2t4|[L]M|[L]AO|[L/M]E|[M-REAL]M|[L/M]Q|[M-REAL]N|[M-REAL]F|[M-INVI]t5t3|[M-REAL]D|[M-REAL]AK|[L]S|[L]I|[L]R|[L]W|[L]L|[L/M]AN|[M-REAL]AL|[L/M]AO|[M-REAL]AQ|[L]H|[L/M]AP|[L]F|[L/M]C|[M-INVI]t2t4|[L/M]E|[M-REAL]R|[L]AO|[L]AN|[L/M]T|[M-REAL]S|[L]E|[L]R|[L/M]F|[M-INVI]t5t3|[M-REAL]D|[L]H|[L/M]AK|[L/M]AM|[M-REAL]AL|[L]E|[L]AA|[L/M]AO|[L/M]AQ|[L/M]AP|[L/M]C|[M-INVI]t2t4|[M-REAL]E|[M-REAL]R|[M-REAL]T|[M-REAL]S|[L/M]F|[M-INVI]t5t3|[L]Y|[L]AI|[L]AL|[L/M]D|[L/M]AK|[M-REAL]AM|[M-REAL]AL|[L]Z|[L]G|[L/M]AO|[M-REAL]AQ|[M-REAL]AP|[L]Z|[L]AA|[L/M]C|[M-REAL]AA|[M-INVI]t26t31|[L]T|[L]AJ|[L/M]AF|[L/M]AH|[L/M]AG|[M-INVI]t32t27|[L/M]AB|[M-REAL]D|[L]AN|[L/M]B
8,"instance_188",1,Yes,"818.00","86.00","818.00","0.45","818.00","481.00","1,370.00","0.45","190.00","0.42","1,402.00","0.42",[L]AK|[L]G|[L/M]A|[L]W|[L/M]C|[L/M]AA|[M-INVI]t26t31|[L/M]AF|[L/M]AH|[L]E|[L/M]AG|[M-INVI]t32t27|[L/M]AB|[L]Z|[L/M]D|[M-REAL]AK|[M-REAL]AM|[M-REAL]AL|[L/M]AO|[L]J|[L]AM|[L]W|[L]AK|[L]M|[L/M]AQ|[M-REAL]AP|[L]X|[L]H|[L/M]C|[M-INVI]t2t4|[L/M]E|[M-REAL]M|[L]Z|[L]X|[L/M]Q|[L/M]N|[L/M]F|[L]Y|[L/M]W|[L/M]Y|[L]Y|[L/M]Z|[L/M]X|[L/M]E|[M-REAL]R|[L]AE|[L/M]U|[M-REAL]S|[L/M]F|[L/M]W|[M-REAL]Z|[L]E|[L/M]Y|[L/M]X|[L/M]E|[M-INVI]t4t6|[M-REAL]G|[L]E|[L/M]K|[L/M]H|[M-INVI]t7t5|[M-REAL]F|[M-INVI]t5t3|[L]H|[L]AA|[L/M]D|[M-REAL]AK|[L]Z|[L]AC|[L]H|[L]H|[L/M]AN|[M-REAL]AL|[M-REAL]AO|[M-REAL]AQ|[L]R|[L]Z|[L]T|[L/M]AP|[L/M]C|[M-REAL]AA|[M-INVI]t26t28|[L]E|[L/M]AC|[L/M]AD|[M-REAL]AE|[M-REAL]AC|[L]AO|[L]R|[L/M]AD|[L/M]AE|[M-REAL]AC|[M-REAL]AD|[M-INVI]t29t27|[L]M|[L/M]AB|[L]F|[L/M]D|[L/M]AK|[L/M]AM|[L/M]AL|[M-REAL]AO|[M-REAL]AQ|[L]AL|[L/M]AP|[L]X|[L/M]C|[M-INVI]t2t4|[L/M]E|[L/M]R|[M-REAL]T|[L/M]S|[L]AQ|[L/M]F|[M-REAL]W|[L/M]Z|[L/M]Y|[L]W|[L/M]X|[M-REAL]E|[M-INVI]t4t6|[L]AL|[L]AC|[L]W|[L]J|[L]N|[L]W|[L/M]G|[L]F|[L]Y|[L/M]J|[L]T|[L/M]H|[M-INVI]t7t5|[L/M]F|[M-REAL]W|[M-REAL]Z|[M-REAL]Y|[L]N|[L/M]X|[M-REAL]E|[M-INVI]t4t6|[L]G|[L/M]G|[L]L|[L/M]I|[L]L|[L]AR|[L]L|[L]M|[L/M]H|[M-INVI]t7t5|[M-REAL]F|[M-REAL]W|[M-REAL]Y|[L/M]Z|[L]O|[L]F|[L]AO|[L/M]X|[L/M]E|[M-INVI]t4t6|[M-REAL]G|[L/M]J|[M-REAL]H|[M-INVI]t7t5|[L]AP|[L]Y|[L/M]F|[M-REAL]W|[L]AD|[L]G|[L/M]Y|[L]W|[L]G|[L]F|[L]S|[L]S|[L/M]Z|[M-REAL]X|[L/M]E|[M-REAL]M|[L]J|[L]G|[L/M]Q|[M-REAL]N|[L/M]F|[M-INVI]t5t3|[L/M]D|[L/M]B
9,"instance_71",1,Yes,"756.00","77.00","756.00","0.45","756.00","413.00","1,250.00","0.45","173.00","0.41","1,282.00","0.41",[M-REAL]A|[L/M]C|[M-INVI]t2t4|[L]AB|[L/M]E|[M-REAL]R|[M-REAL]T|[M-REAL]S|[L]D|[L]AB|[L/M]F|[L/M]W|[L]C|[L/M]Y|[L/M]Z|[L/M]X|[L/M]E|[M-INVI]t4t6|[L/M]G|[M-REAL]I|[L]AC|[L/M]H|[M-INVI]t7t5|[L]Y|[L]K|[L/M]F|[L/M]W|[M-REAL]Y|[M-REAL]Z|[M-REAL]X|[L]F|[L]G|[L/M]E|[M-INVI]t4t6|[L/M]G|[L/M]K|[L]F|[L]S|[L/M]H|[L/M]L|[L]AO|[L/M]G|[L/M]K|[L]AR|[L/M]H|[L/M]L|[M-REAL]G|[L]AL|[L]W|[L/M]K|[L]AP|[L/M]H|[M-INVI]t7t5|[L]R|[L/M]F|[M-INVI]t5t3|[L/M]D|[M-REAL]AK|[M-REAL]AM|[L/M]AL|[M-REAL]AO|[L]Z|[L]AM|[L/M]AR|[L]H|[L]AC|[L]U|[L/M]AP|[M-REAL]C|[L/M]AA|[M-INVI]t26t28|[M-REAL]AC|[M-REAL]AD|[L/M]AE|[M-REAL]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L]K|[L]AL|[L]AM|[L/M]AD|[M-INVI]t29t27|[M-REAL]AB|[L]AK|[L/M]D|[L/M]AK|[L/M]AM|[M-REAL]AL|[M-REAL]AO|[L]R|[L]Y|[L]H|[L/M]AR|[M-REAL]AP|[M-REAL]C|[M-INVI]t2t4|[M-REAL]E|[M-INVI]t4t6|[L]Y|[L]AD|[L/M]G|[L]C|[L]X|[L]AA|[L/M]I|[L]X|[L]D|[L]G|[L]L|[L/M]H|[M-INVI]t7t5|[L/M]F|[L/M]W|[M-REAL]Y|[L]A|[L/M]Z|[L/M]X|[L]E|[L]Y|[L]G|[L]B|[L]AE|[L/M]E|[L]E|[L/M]M|[L/M]Q|[L/M]N|[M-REAL]F|[M-REAL]W|[M-REAL]Y|[L]AD|[L]AC|[L]C|[L/M]Z|[L]F|[L/M]X|[L/M]E|[M-REAL]R|[M-REAL]T|[L/M]S|[M-REAL]F|[M-INVI]t5t3|[L]AO|[L]AL|[L]Z|[L/M]D|[L/M]AK|[L/M]AN|[M-REAL]AL|[L]AC|[L]AH|[L/M]AO|[L/M]AQ|[L/M]AP|[L/M]C|[L/M]AA|[M-INVI]t26t31|[L/M]AF|[M-REAL]AH|[M-REAL]AG|[M-INVI]t32t27|[L]AK|[L/M]AB|[M-REAL]D|[M-REAL]B|[L]AD|[L]AG|[L]K|[L]AO|[L]AP|[L]W|[L]U
10,"instance_36",1,Yes,"602.00","80.00","602.00","0.48","602.00","345.00","1,070.00","0.48","166.00","0.45","1,102.00","0.45",[L/M]A|[L/M]C|[M-INVI]t2t4|[L/M]E|[L/M]M|[L]AC|[L]AN|[L/M]P|[L]AF|[L/M]N|[M-REAL]F|[M-INVI]t5t3|[L/M]D|[L/M]AK|[M-REAL]AM|[M-REAL]AL|[M-REAL]AO|[L]AD|[L]AG|[L]AI|[L/M]AR|[L]AQ|[L/M]AP|[M-REAL]C|[L]AH|[L/M]AA|[M-INVI]t26t31|[L/M]AF|[M-REAL]AH|[L]C|[L/M]AG|[M-INVI]t32t27|[L/M]AB|[L/M]D|[M-REAL]AK|[L]W|[L/M]AN|[L/M]AL|[L/M]AO|[M-REAL]AQ|[L]AO|[L/M]AP|[M-REAL]C|[L]AB|[L]AL|[L/M]AA|[M-INVI]t26t31|[M-REAL]AF|[L/M]AI|[M-REAL]AG|[M-INVI]t32t27|[M-REAL]AB|[L]AN|[L/M]D|[L]AB|[L/M]AK|[M-REAL]AM|[M-REAL]AL|[M-REAL]AO|[L]AK|[L]AF|[L/M]AR|[L]AM|[L]Z|[L/M]AP|[M-REAL]C|[L/M]AA|[M-INVI]t26t31|[M-REAL]AF|[L]AR|[L/M]AH|[L/M]AG|[M-INVI]t32t27|[L/M]AB|[M-REAL]D|[L]AB|[L/M]AK|[L]C|[L]AA|[L]P|[L/M]AN|[M-REAL]AL|[L]AC|[L/M]AO|[M-REAL]AQ|[L/M]AP|[L]R|[L/M]C|[M-INVI]t2t4|[L/M]E|[M-REAL]R|[L]B|[L]AF|[L/M]U|[L/M]S|[L/M]F|[M-REAL]W|[M-REAL]Z|[M-REAL]Y|[L]AK|[L/M]X|[L/M]E|[L/M]M|[M-REAL]O|[L/M]N|[L]AK|[L/M]F|[M-INVI]t5t3|[L/M]D|[M-REAL]AK|[L]AL|[L/M]AM|[L/M]AL|[L/M]AO|[L/M]AQ|[M-REAL]AP|[M-REAL]C|[L/M]AA|[M-INVI]t26t28|[M-REAL]AC|[M-REAL]AD|[M-INVI]t29t27|[M-REAL]AB|[M-REAL]D|[M-REAL]AK|[L/M]AN|[M-REAL]AL|[L]D|[L]C|[L]D|[L]D|[L]AR|[L/M]AO|[L]AL|[L/M]AQ|[L]C|[L/M]AP|[L/M]C|[M-REAL]AA|[M-INVI]t26t28|[M-REAL]AC|[L]AP|[L/M]AD|[M-INVI]t29t27|[M-REAL]AB|[L]AO|[L/M]D|[L/M]AK|[M-REAL]AM|[L]Y|[L/M]AL|[L/M]AO|[M-REAL]AQ|[L/M]AP|[L]AL|[L/M]C|[L/M]AA|[M-INVI]t26t31|[M-REAL]AF|[M-REAL]AH|[L/M]AG|[M-INVI]t32t27|[L/M]AB|[M-REAL]D|[M-REAL]B|[L]F
