Result of replaying M5.tpn on Process 1 (filtered on event attributes)

Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost Lo","Decomposed Sync-Move Numerator","Raw Fitness Cost Hi","Sync-Move Fitness","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Decomposed Sync-Move Fitness","Decomposed Sync-Move Denominator","Raw Fitness Perc Hi","Raw Fitness Cost Max","Raw Fitness Perc Lo",Match
1,"instance_341",1,Yes,"184.00","60.00","184.00","0.68","184.00","5,817.00","710.00","0.68","88.00","0.78","818.00","0.78",[M-REAL]A|[L]AD|[L/M]C|[L/M]X|[L/M]P|[L/M]E|[M-REAL]Z|[L/M]AC|[L/M]G|[M-REAL]AA|[M-REAL]AE|[M-REAL]L|[L/M]AD|[M-REAL]O|[L]U|[L/M]AF|[L/M]R|[L/M]S|[L]Y|[L]AD|[L/M]K|[L/M]N|[L/M]Z|[L/M]Q|[L/M]M|[L/M]AC|[L/M]T|[L/M]H|[L/M]AA|[L/M]F|[M-REAL]AD|[L/M]W|[L]O|[L/M]Z|[M-REAL]AB|[L]Z|[L/M]AA|[L]AB|[L/M]AD|[M-REAL]Z|[L]L|[L/M]AC|[L/M]AA|[L/M]AD|[L/M]Z|[L]AD|[L/M]AB|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AC|[L/M]AA|[M-REAL]AD|[L/M]Z|[M-REAL]U|[L/M]AC|[L/M]AA|[L/M]AD|[L/M]Z|[L]AA|[L/M]AB|[L/M]AA|[L/M]AD|[L/M]Z|[M-REAL]AB|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AC|[M-REAL]AA|[M-REAL]AD|[L]A|[L/M]Z|[L/M]AC|[L/M]AA|[M-REAL]AD|[L]AE|[L/M]Z|[L/M]AB|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AC|[L/M]AA|[M-INVI]t26t24|[M-REAL]Y|[L/M]D|[L/M]B
2,"instance_407",1,Yes,"252.00","50.00","252.00","0.58","252.00","14,681.00","670.00","0.58","86.00","0.68","778.00","0.68",[L/M]A|[L/M]C|[L/M]P|[L]AC|[L]AA|[L/M]X|[L]T|[L/M]R|[L/M]Z|[L/M]AE|[L/M]AC|[M-REAL]AA|[M-REAL]E|[M-REAL]S|[M-REAL]L|[L/M]AD|[L/M]N|[L/M]Q|[M-REAL]T|[M-REAL]O|[L]AD|[L/M]G|[M-REAL]I|[L]AA|[L/M]V|[L]Z|[L/M]M|[L/M]H|[L]K|[L/M]F|[L/M]U|[L]Y|[L/M]Z|[L/M]AC|[L/M]AA|[L]AA|[L/M]AD|[L/M]Z|[M-REAL]AB|[L]S|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AC|[M-REAL]AA|[L]E|[L/M]AD|[L/M]Z|[L/M]AB|[L/M]AA|[M-REAL]AD|[L/M]Z|[L/M]AF|[L]Z|[L/M]AC|[M-REAL]AA|[M-REAL]AD|[L]L|[L]AC|[L]D|[L/M]Z|[L/M]AC|[M-REAL]AA|[L/M]AD|[L/M]Z|[L/M]AB|[L/M]AA|[L/M]AD|[M-REAL]Z|[L/M]AB|[L/M]AA|[L/M]AD|[M-REAL]Z|[L]O|[L/M]AB|[L/M]AA|[L/M]AD|[L/M]Z|[M-REAL]AB|[L/M]AA|[M-INVI]t26t24|[M-REAL]Y|[M-REAL]D|[L]AA|[L]AD|[L/M]B
3,"instance_40",1,Yes,"250.00","49.00","250.00","0.59","250.00","12,379.00","670.00","0.59","83.00","0.68","778.00","0.68",[L/M]A|[L]R|[L/M]C|[L]B|[L/M]P|[M-REAL]R|[M-REAL]X|[L/M]E|[M-REAL]G|[L]AC|[L]AC|[L/M]S|[L/M]L|[M-REAL]Q|[L/M]Z|[L]AF|[L/M]J|[L/M]N|[L]X|[L/M]AB|[L/M]H|[L]Z|[L/M]AA|[L]AB|[L/M]T|[L]F|[L/M]AD|[L/M]Z|[L]Z|[L/M]AC|[L]U|[L/M]AA|[M-REAL]AD|[L]AA|[L/M]Z|[M-REAL]AB|[L/M]AE|[M-REAL]AF|[L/M]AA|[L/M]AD|[L]Z|[L/M]Z|[L/M]AB|[L/M]AA|[L/M]O|[L/M]AD|[L/M]Z|[L]Q|[L/M]AC|[L]AD|[L]G|[L]AA|[L/M]M|[L/M]AA|[L/M]AD|[L/M]W|[M-REAL]Z|[M-REAL]U|[L/M]AC|[L/M]AA|[L/M]AD|[M-REAL]Z|[L/M]AC|[L/M]AA|[L/M]AD|[L]AA|[L/M]Z|[L/M]AC|[L/M]AA|[L/M]AD|[L/M]Z|[L]AD|[L/M]AC|[M-REAL]AA|[L/M]AD|[L/M]Z|[M-REAL]F|[M-REAL]AB|[M-REAL]AA|[M-INVI]t26t24|[L/M]Y|[L/M]D|[M-REAL]B
4,"instance_457",1,Yes,"196.00","54.00","196.00","0.66","196.00","12,369.00","670.00","0.66","82.00","0.75","778.00","0.75",[L/M]A|[L/M]C|[L/M]X|[L/M]P|[L/M]E|[M-REAL]L|[L/M]Z|[L/M]N|[M-REAL]AB|[L/M]AA|[L/M]S|[L/M]AE|[L/M]R|[M-REAL]AD|[L/M]G|[L]L|[L/M]J|[L/M]Z|[L/M]AB|[L/M]O|[M-REAL]AA|[M-REAL]Q|[L]AD|[L]AD|[L/M]T|[M-REAL]V|[L/M]M|[L]AD|[L/M]U|[L]F|[L]AD|[L/M]AD|[L]AB|[L/M]Z|[L/M]AC|[L/M]AA|[M-REAL]AD|[L/M]Z|[L/M]AC|[L/M]AA|[M-REAL]AD|[L]AC|[L]AC|[L/M]AF|[L/M]Z|[L/M]AB|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AC|[L/M]AA|[L/M]AD|[L/M]Z|[L]Z|[L/M]AB|[L/M]AA|[L/M]AD|[M-REAL]Z|[L]D|[L/M]H|[L/M]AB|[L/M]AA|[M-REAL]AD|[L/M]Z|[M-REAL]AB|[L]AA|[L/M]AA|[L/M]AD|[L]V|[L/M]Z|[L/M]AC|[L/M]AA|[L/M]AD|[L/M]Z|[M-REAL]AB|[L]Q|[L/M]AA|[M-INVI]t26t24|[M-REAL]F|[L/M]Y|[M-REAL]D|[L/M]B
5,"instance_3",1,Yes,"198.00","51.00","198.00","0.63","198.00","8,802.00","630.00","0.63","81.00","0.73","738.00","0.73",[M-REAL]A|[M-REAL]C|[M-REAL]E|[M-REAL]P|[M-REAL]L|[L/M]N|[M-REAL]X|[L/M]S|[L]C|[L/M]Z|[L/M]AB|[L/M]AE|[L]L|[L/M]G|[L/M]AA|[M-REAL]AD|[L/M]AF|[L/M]J|[L/M]O|[L/M]Z|[L]A|[L/M]M|[L/M]AC|[L/M]H|[M-REAL]R|[L/M]Q|[L/M]AA|[L/M]F|[L]E|[L/M]AD|[L/M]Z|[L/M]AC|[L]U|[L]AA|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AC|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AB|[L/M]AA|[L/M]AD|[L/M]Z|[M-REAL]AB|[L/M]AA|[L/M]T|[L]AC|[L]AC|[L/M]AD|[L/M]Z|[M-REAL]AB|[L]P|[L/M]AA|[L/M]AD|[L/M]Z|[M-REAL]AB|[L/M]AA|[M-REAL]AD|[L]AA|[L/M]Z|[L]AD|[L/M]AB|[M-REAL]AA|[L/M]AD|[L/M]Z|[L/M]AC|[M-REAL]AA|[L]R|[L/M]AD|[M-REAL]Z|[L]X|[L/M]W|[M-REAL]U|[L/M]AC|[M-REAL]AA|[M-INVI]t26t24|[L/M]Y|[L/M]D|[L/M]B
6,"instance_436",1,Yes,"238.00","47.00","238.00","0.58","238.00","14,600.00","630.00","0.58","81.00","0.68","738.00","0.68",[M-REAL]A|[L]T|[L]F|[L/M]C|[M-REAL]X|[L/M]P|[M-REAL]Z|[M-REAL]E|[L]AD|[L/M]AC|[L/M]AA|[L/M]S|[L/M]R|[L/M]L|[L/M]G|[L]H|[L/M]AE|[L]AC|[L]X|[L/M]J|[L/M]O|[L/M]N|[L/M]Q|[L]A|[L]Z|[L/M]AF|[M-REAL]T|[L/M]M|[L/M]W|[L/M]U|[L/M]AD|[L/M]Z|[M-REAL]AB|[L/M]AA|[L/M]AD|[L/M]Z|[M-REAL]AB|[L/M]AA|[L/M]AD|[L]AA|[L]AB|[L/M]Z|[L/M]AC|[M-REAL]AA|[M-REAL]AD|[L/M]Z|[L/M]AC|[L/M]AA|[L/M]AD|[L]Z|[L/M]Z|[L/M]AB|[L]B|[L/M]AA|[M-REAL]AD|[L/M]Z|[L/M]AB|[L/M]AA|[M-REAL]AD|[M-REAL]Z|[L]AB|[L]E|[L/M]AB|[L]AD|[L/M]AA|[L/M]AD|[L]AD|[L/M]Z|[M-REAL]AB|[L/M]AA|[M-REAL]H|[L/M]AD|[M-REAL]F|[L]D|[L/M]Z|[L/M]AB|[L/M]AA|[M-INVI]t26t24|[L/M]Y|[M-REAL]D|[M-REAL]B
7,"instance_80",1,Yes,"112.00","60.00","112.00","0.79","112.00","4,015.00","670.00","0.79","76.00","0.86","778.00","0.86",[L/M]A|[L/M]C|[L]AD|[L/M]P|[L/M]E|[L/M]R|[L/M]X|[M-REAL]AE|[L/M]AF|[L/M]G|[M-REAL]Z|[L/M]L|[L/M]S|[L/M]Q|[L/M]I|[L/M]O|[L]AA|[L/M]AB|[L/M]N|[L/M]M|[L/M]H|[L/M]T|[L/M]AA|[L/M]F|[L/M]AD|[L/M]W|[L]AA|[L]Y|[L/M]Z|[L/M]U|[M-REAL]AB|[L/M]AA|[L/M]AD|[L]AC|[L/M]Z|[L/M]AC|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AB|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AB|[M-REAL]AA|[L/M]AD|[L]Z|[L/M]Z|[L/M]AB|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AB|[L/M]AA|[L]AE|[L/M]AD|[L/M]Z|[L/M]AB|[M-REAL]AA|[M-REAL]AD|[L]Z|[L/M]Z|[L/M]AC|[L/M]AA|[L/M]AD|[M-REAL]Z|[L/M]AB|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AB|[L/M]AA|[M-INVI]t26t24|[M-REAL]Y|[L/M]D|[L/M]B
8,"instance_328",1,Yes,"84.00","62.00","84.00","0.84","84.00","1,004.00","670.00","0.84","74.00","0.89","778.00","0.89",[L]AA|[L/M]A|[L/M]C|[L]AA|[L/M]P|[L/M]X|[L/M]E|[L/M]G|[L/M]S|[L/M]AE|[M-REAL]R|[L/M]L|[L]U|[L/M]O|[L/M]Z|[L/M]AF|[L/M]J|[L/M]N|[L]B|[L/M]Q|[L/M]AC|[L/M]M|[L/M]AA|[L/M]H|[L/M]T|[L/M]AD|[L/M]F|[L/M]W|[L/M]Z|[L]R|[L/M]AC|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AB|[M-REAL]AA|[L/M]AD|[L/M]Z|[L/M]AC|[L/M]AA|[L/M]AD|[L/M]Z|[L]AC|[L/M]AC|[L/M]AA|[L/M]AD|[L/M]Z|[M-REAL]AB|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AC|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AB|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AB|[M-REAL]AA|[L/M]AD|[L/M]Z|[L/M]AC|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AC|[L/M]AA|[M-REAL]U|[M-INVI]t26t24|[L/M]Y|[L/M]D|[M-REAL]B
9,"instance_81",1,Yes,"222.00","43.00","222.00","0.59","222.00","8,417.00","590.00","0.59","73.00","0.68","698.00","0.68",[L/M]A|[M-REAL]C|[M-REAL]E|[M-REAL]X|[L]AB|[L/M]P|[L]U|[L]B|[L/M]S|[L]Y|[L/M]L|[L/M]G|[L/M]R|[L/M]Q|[L/M]AE|[L]Z|[L/M]J|[L/M]H|[L/M]O|[L/M]N|[L/M]AF|[L/M]Z|[L/M]M|[L/M]AC|[L]AD|[L/M]T|[L/M]AA|[L/M]F|[L]Z|[L/M]AD|[L/M]Z|[L/M]AB|[L/M]AA|[L/M]AD|[M-REAL]Z|[M-REAL]AB|[L]C|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AB|[L/M]AA|[L/M]AD|[M-REAL]Z|[M-REAL]AB|[L/M]AA|[L]AC|[L/M]AD|[M-REAL]Z|[L]AA|[L/M]AC|[L/M]AA|[M-REAL]AD|[L/M]Z|[L]AD|[L/M]AB|[L]AA|[L]X|[L/M]AA|[L/M]V|[M-REAL]U|[L]AB|[L]Z|[L/M]AD|[L/M]Z|[L/M]AC|[M-REAL]AA|[M-INVI]t26t24|[M-REAL]Y|[L]Z|[L]E|[L/M]D|[M-REAL]B
10,"instance_41",1,Yes,"168.00","48.00","168.00","0.67","168.00","10,488.00","590.00","0.67","72.00","0.76","698.00","0.76",[L/M]A|[L/M]C|[L/M]X|[L/M]E|[L/M]P|[L]M|[L/M]S|[L/M]AE|[L/M]L|[L/M]R|[M-REAL]Q|[L/M]Z|[L]AA|[L]I|[L/M]N|[L/M]O|[L/M]AC|[L]AD|[L/M]AF|[L/M]AA|[L/M]AD|[L]AA|[L]D|[L]F|[L/M]T|[L/M]G|[L/M]Z|[M-REAL]V|[L]Z|[L/M]U|[L/M]AC|[M-REAL]AA|[L/M]AD|[L/M]Z|[L/M]AB|[L/M]AA|[M-REAL]AD|[L]AA|[L/M]Z|[L/M]AC|[L/M]AA|[L/M]AD|[L/M]Z|[L]AB|[L/M]AB|[L/M]AA|[L/M]AD|[L/M]Z|[L/M]AC|[L/M]AA|[L/M]AD|[L/M]Z|[M-REAL]AB|[M-REAL]AA|[L/M]AD|[L]Q|[L/M]Z|[L/M]AB|[M-REAL]M|[M-REAL]AA|[L/M]AD|[M-REAL]Z|[M-REAL]I|[L]W|[L/M]AC|[L/M]AA|[M-INVI]t26t24|[L/M]Y|[L/M]H|[M-REAL]F|[M-REAL]D|[L/M]B
