Result of replaying M2.tpn on Process 13 (filtered on event attributes)

Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost Lo","Decomposed Sync-Move Numerator","Raw Fitness Cost Hi","Sync-Move Fitness","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Decomposed Sync-Move Fitness","Decomposed Sync-Move Denominator","Raw Fitness Perc Hi","Raw Fitness Cost Max","Raw Fitness Perc Lo",Match
1,"instance_185",1,Yes,"196,00","45,00","196,00","0,55","196,00","512,00","520,00","0,55","82,00","0,66","576,00","0,66",[M-REAL]A|[M-REAL]C|[L]S|[L]R|[L]R|[L/M]E|[M-REAL]G|[L/M]K|[L/M]Q|[L/M]L|[L/M]J|[L/M]R|[M-REAL]S|[M-REAL]Q|[L/M]R|[M-REAL]S|[M-REAL]Q|[L/M]R|[M-REAL]S|[L/M]Q|[M-REAL]R|[L/M]S|[M-REAL]Q|[M-REAL]R|[L]H|[L/M]S|[L/M]I|[M-REAL]Q|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[M-REAL]R|[M-REAL]S|[L]G|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[M-REAL]S|[L]A|[L/M]Q|[M-REAL]R|[L]C|[L/M]S|[L/M]Q|[M-REAL]R|[M-REAL]S|[L/M]Q|[M-REAL]R|[L/M]S|[M-REAL]Q|[M-REAL]R|[L/M]S|[L/M]Q|[L/M]R|[M-REAL]S|[M-REAL]Q|[L/M]R|[L/M]S|[L]M|[L/M]Q|[L/M]P|[L/M]R|[M-REAL]S|[L/M]Q|[M-REAL]R|[L/M]S|[M-REAL]Q|[M-REAL]R|[M-INVI]t17t5|[M-REAL]M|[M-REAL]H|[L/M]F|[L/M]D|[L/M]B
2,"instance_249",1,Yes,"142,00","39,00","142,00","0,58","142,00","344,00","430,00","0,58","67,00","0,71","486,00","0,71",[L/M]A|[M-REAL]C|[M-REAL]E|[M-REAL]Q|[L/M]R|[L/M]S|[M-REAL]Q|[M-REAL]R|[L/M]G|[L/M]I|[L/M]L|[L/M]K|[L/M]S|[L/M]Q|[M-REAL]R|[L/M]J|[L/M]N|[M-REAL]S|[L/M]M|[L]E|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[M-REAL]R|[M-REAL]S|[L/M]Q|[M-REAL]R|[L]C|[L/M]S|[L/M]Q|[L/M]R|[M-REAL]S|[M-REAL]Q|[L/M]R|[M-REAL]S|[L/M]Q|[L/M]R|[L/M]S|[M-REAL]Q|[L/M]R|[L/M]S|[M-REAL]Q|[M-REAL]R|[L/M]S|[L]F|[L/M]Q|[L/M]R|[M-REAL]S|[L/M]Q|[L/M]R|[L]B|[L/M]S|[M-REAL]Q|[L/M]R|[M-REAL]S|[L/M]Q|[M-REAL]R|[M-REAL]S|[L/M]Q|[L/M]R|[M-INVI]t17t5|[L/M]H|[M-REAL]F|[L/M]D|[M-REAL]B|[L]S
3,"instance_183",1,Yes,"140,00","31,00","140,00","0,52","140,00","281,00","340,00","0,52","60,00","0,65","396,00","0,65",[L]P|[L/M]A|[L/M]C|[M-REAL]E|[L/M]Q|[M-REAL]R|[M-REAL]S|[L/M]G|[L/M]Q|[M-REAL]R|[L/M]S|[M-REAL]Q|[L/M]L|[L/M]R|[M-REAL]S|[M-REAL]N|[M-REAL]Q|[L/M]I|[L/M]M|[L]H|[L]F|[L/M]R|[M-REAL]S|[M-REAL]Q|[L/M]R|[M-REAL]S|[L/M]J|[L/M]Q|[L/M]R|[L/M]S|[M-REAL]Q|[M-REAL]R|[L]E|[L/M]S|[M-REAL]Q|[L/M]R|[M-REAL]S|[L/M]K|[L/M]Q|[M-REAL]R|[L/M]S|[M-REAL]Q|[L/M]R|[M-REAL]S|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[M-REAL]R|[M-REAL]S|[L/M]Q|[M-REAL]R|[L/M]S|[M-REAL]H|[M-REAL]Q|[M-REAL]R|[M-INVI]t17t5|[M-REAL]F|[L/M]D|[L/M]B
4,"instance_284",1,Yes,"106,00","36,00","106,00","0,65","106,00","378,00","400,00","0,65","55,00","0,77","456,00","0,77",[L]S|[L/M]A|[L/M]C|[L/M]E|[L/M]G|[L/M]K|[M-REAL]L|[L/M]Q|[L]B|[L/M]N|[L/M]R|[M-REAL]S|[L/M]I|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[M-REAL]R|[L/M]S|[M-REAL]Q|[M-REAL]R|[L/M]S|[L/M]Q|[L]D|[L/M]R|[M-REAL]S|[M-REAL]Q|[L/M]R|[M-REAL]S|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[M-REAL]J|[L/M]H|[M-REAL]S|[L/M]Q|[M-REAL]R|[L/M]M|[L/M]S|[M-REAL]Q|[L]J|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[M-INVI]t17t5|[L/M]F|[M-REAL]D|[M-REAL]B|[L]L
5,"instance_449",1,Yes,"116,00","31,00","116,00","0,57","116,00","252,00","340,00","0,57","54,00","0,71","396,00","0,71",[L/M]A|[L/M]C|[L/M]E|[L/M]Q|[L/M]G|[L/M]R|[L]B|[L/M]S|[M-REAL]Q|[L/M]K|[M-REAL]R|[L/M]S|[L/M]I|[L/M]Q|[M-REAL]R|[M-REAL]S|[L/M]Q|[M-REAL]R|[L]H|[L/M]S|[L/M]Q|[L/M]R|[M-REAL]S|[M-REAL]Q|[L/M]R|[M-REAL]S|[M-REAL]L|[L]M|[L/M]Q|[L/M]P|[M-REAL]M|[L/M]J|[M-REAL]R|[L/M]S|[L/M]Q|[M-REAL]R|[L/M]S|[M-REAL]Q|[L/M]R|[M-REAL]S|[M-REAL]Q|[L/M]R|[M-REAL]S|[M-REAL]Q|[L/M]R|[M-REAL]H|[L/M]S|[L/M]Q|[L/M]R|[M-INVI]t17t5|[L/M]F|[L/M]D|[M-REAL]B|[L]L
6,"instance_370",1,Yes,"132,00","29,00","132,00","0,55","132,00","350,00","340,00","0,55","53,00","0,67","396,00","0,67",[L/M]A|[L/M]C|[L/M]E|[M-REAL]Q|[M-REAL]G|[L/M]L|[L/M]R|[L/M]S|[M-REAL]N|[L]H|[L/M]Q|[L/M]M|[L/M]J|[M-REAL]R|[L/M]I|[L]G|[L/M]S|[L]B|[L/M]Q|[M-REAL]R|[M-REAL]S|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[M-REAL]R|[L/M]S|[M-REAL]Q|[L/M]R|[M-REAL]S|[L/M]Q|[M-REAL]R|[M-REAL]S|[L/M]Q|[L/M]R|[L/M]S|[M-REAL]Q|[L]O|[L/M]R|[M-REAL]S|[M-REAL]Q|[L/M]R|[L/M]K|[M-REAL]H|[M-REAL]S|[L/M]Q|[L/M]R|[M-INVI]t17t5|[L]D|[L/M]F|[M-REAL]D|[M-REAL]B|[L]S
7,"instance_130",1,Yes,"118,00","30,00","118,00","0,58","118,00","184,00","340,00","0,58","52,00","0,70","396,00","0,70",[L/M]A|[L/M]C|[L/M]E|[L/M]L|[L/M]Q|[L/M]R|[L/M]O|[M-REAL]S|[M-REAL]G|[L/M]Q|[L/M]J|[L/M]R|[L/M]M|[L/M]S|[M-REAL]Q|[L/M]R|[M-REAL]S|[M-REAL]Q|[L]H|[L/M]R|[M-REAL]S|[M-REAL]Q|[L/M]R|[L/M]S|[L/M]Q|[M-REAL]R|[M-REAL]S|[L/M]Q|[L/M]R|[L/M]S|[M-REAL]Q|[M-REAL]R|[L/M]I|[L/M]S|[M-REAL]Q|[L]B|[L/M]R|[L/M]S|[L/M]Q|[M-REAL]R|[L/M]S|[L/M]Q|[M-REAL]R|[M-REAL]K|[M-INVI]t17t5|[M-REAL]H|[L]G|[L/M]F|[L/M]D|[M-REAL]B|[L]K|[L]Q
8,"instance_499",1,Yes,"118,00","30,00","118,00","0,58","118,00","196,00","340,00","0,58","52,00","0,70","396,00","0,70",[L/M]A|[L/M]C|[L/M]E|[L/M]L|[L/M]Q|[L/M]R|[L]K|[L/M]S|[L/M]O|[M-REAL]Q|[L/M]R|[M-REAL]S|[L/M]Q|[M-REAL]R|[M-REAL]S|[L/M]Q|[L]F|[L/M]R|[M-REAL]S|[L]H|[L/M]Q|[L/M]G|[L/M]R|[L/M]S|[L]D|[L/M]Q|[M-REAL]R|[M-REAL]S|[L/M]Q|[L/M]R|[L/M]S|[M-REAL]Q|[M-REAL]R|[M-REAL]K|[L/M]S|[M-REAL]Q|[M-REAL]R|[L/M]S|[L/M]Q|[M-REAL]R|[L/M]M|[L/M]S|[M-REAL]Q|[L/M]J|[L/M]I|[M-REAL]H|[L/M]R|[M-INVI]t17t5|[M-REAL]F|[M-REAL]D|[L/M]B|[L]R
9,"instance_211",1,Yes,"90,00","32,00","90,00","0,64","90,00","148,00","340,00","0,64","50,00","0,77","396,00","0,77",[L/M]A|[L/M]C|[M-REAL]E|[M-REAL]Q|[M-REAL]R|[L/M]S|[L]F|[L/M]G|[L/M]L|[L/M]Q|[L/M]J|[L/M]R|[M-REAL]S|[L/M]K|[M-REAL]Q|[L/M]I|[L/M]N|[L/M]R|[L/M]M|[L/M]S|[M-REAL]Q|[M-REAL]R|[L/M]S|[L/M]H|[L/M]Q|[M-REAL]R|[L/M]S|[M-REAL]Q|[M-REAL]R|[L/M]S|[L/M]Q|[L/M]R|[M-REAL]S|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[M-REAL]S|[L/M]Q|[L/M]R|[M-REAL]S|[L/M]Q|[L]B|[L/M]R|[M-INVI]t17t5|[M-REAL]F|[L/M]D|[M-REAL]B|[L]E
10,"instance_11",1,Yes,"132,00","26,00","132,00","0,52","132,00","239,00","310,00","0,52","50,00","0,64","366,00","0,64",[M-REAL]A|[L/M]C|[M-REAL]E|[M-REAL]Q|[L]M|[L/M]R|[M-REAL]S|[L/M]G|[L/M]Q|[M-REAL]R|[L/M]S|[L/M]K|[M-REAL]Q|[L]D|[L/M]I|[L/M]R|[M-REAL]S|[L]P|[L/M]J|[L/M]Q|[L/M]R|[M-REAL]S|[L/M]H|[M-REAL]Q|[L/M]R|[L/M]S|[L/M]Q|[M-REAL]R|[M-REAL]S|[L/M]Q|[M-REAL]R|[L]E|[L/M]S|[L/M]Q|[L]A|[L/M]L|[M-REAL]N|[L/M]R|[L/M]S|[L/M]Q|[M-REAL]R|[L]F|[L/M]S|[M-REAL]Q|[L/M]R|[M-REAL]M|[M-INVI]t17t5|[M-REAL]F|[M-REAL]D|[L/M]B
