Result of replaying M8.tpn on Process 1 (filtered on event attributes)

Index,Case IDs,NumOfCases,IsReliable,"Traversed Arcs","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Num. States","Move-Model Fitness","Trace Fitness","Max Fitness Cost","Move-Log Fitness","Trace Length","Queued States",Match
1,"instance_64|instance_63|instance_179|instance_52|instance_30|instance_130|instance_33|instance_382|instance_361|instance_483|instance_117|instance_97|instance_59|instance_459|instance_355|instance_317|instance_229|instance_116|instance_233|instance_125|instance_479|instance_480|instance_264|instance_360|instance_364|instance_467|instance_119|instance_191|instance_111|instance_46",30,Yes,"27.00","0.00","0.00","8.00","9.00","1.00","1.00","16.00","1.00","8.00","28.00",[L/M]A|[L/M]C|[L/M]E|[L/M]H|[L/M]G|[L/M]F|[L/M]D|[L/M]B
2,"instance_171|instance_81|instance_273|instance_279|instance_47|instance_406|instance_330|instance_450|instance_84|instance_168",10,Yes,"27.00","0.00","0.00","8.00","9.00","1.00","1.00","16.00","1.00","8.00","28.00",[L/M]A|[L/M]C|[L/M]E|[L/M]G|[L/M]H|[L/M]F|[L/M]D|[L/M]B
3,"instance_165|instance_161|instance_235|instance_32|instance_143|instance_367",6,Yes,"32.00","0.00","0.00","9.00","10.00","1.00","1.00","17.00","1.00","9.00","33.00",[L/M]A|[L/M]C|[L/M]I|[L/M]M|[L/M]L|[L/M]K|[L/M]J|[L/M]D|[L/M]B
4,"instance_366|instance_48|instance_322|instance_318|instance_404",5,Yes,"32.00","0.00","0.00","9.00","10.00","1.00","1.00","17.00","1.00","9.00","33.00",[L/M]A|[L/M]C|[L/M]I|[L/M]L|[L/M]M|[L/M]K|[L/M]J|[L/M]D|[L/M]B
5,"instance_148|instance_350|instance_421",3,Yes,"27.00","2.00","0.00","8.00","10.00","0.88","0.88","16.00","0.88","8.00","28.00",[L/M]A|[L]E|[L/M]C|[M-REAL]E|[L/M]H|[L/M]G|[L/M]F|[L/M]D|[L/M]B
6,"instance_417|instance_222|instance_415",3,Yes,"28.00","2.00","0.00","8.00","10.00","0.88","0.88","16.00","0.88","8.00","29.00",[L/M]A|[L/M]C|[L]H|[L/M]E|[M-REAL]H|[L/M]G|[L/M]F|[L/M]D|[L/M]B
7,"instance_349|instance_428|instance_19",3,Yes,"32.00","0.00","0.00","9.00","10.00","1.00","1.00","17.00","1.00","9.00","33.00",[L/M]A|[L/M]C|[L/M]I|[L/M]M|[L/M]K|[L/M]L|[L/M]J|[L/M]D|[L/M]B
8,"instance_22|instance_481|instance_219",3,Yes,"27.00","2.00","0.00","8.00","10.00","0.88","0.88","16.00","0.88","8.00","28.00",[L/M]A|[L/M]C|[L]D|[L/M]E|[L/M]H|[L/M]G|[L/M]F|[M-REAL]D|[L/M]B
9,"instance_79|instance_465",2,Yes,"32.00","2.00","1.00","9.00","11.00","0.89","0.88","17.00","0.89","9.00","33.00",[L/M]A|[L]J|[L/M]C|[L/M]I|[L/M]M|[L/M]K|[L/M]L|[M-REAL]J|[L/M]D|[L/M]B
10,"instance_486|instance_157",2,Yes,"45.00","4.00","1.00","8.00","21.00","0.75","0.75","16.00","0.75","8.00","40.00",[L/M]A|[L/M]C|[L/M]E|[L/M]H|[M-REAL]G|[M-REAL]F|[L/M]D|[L]F|[L]G|[L/M]B
11,"instance_403|instance_109",2,Yes,"31.00","2.00","0.00","9.00","11.00","0.89","0.88","17.00","0.89","9.00","32.00",[L/M]A|[L/M]C|[L/M]I|[L/M]L|[L/M]K|[L/M]M|[L]B|[L/M]J|[L/M]D|[M-REAL]B
12,"instance_351|instance_329",2,Yes,"40.00","4.00","0.00","8.00","20.00","0.75","0.75","16.00","0.75","8.00","38.00",[L/M]A|[L/M]C|[M-REAL]E|[L]B|[L/M]H|[L/M]G|[L/M]F|[L/M]D|[M-REAL]B|[L]E
13,"instance_334|instance_381",2,Yes,"33.00","4.00","1.00","8.00","13.00","0.75","0.75","16.00","0.75","8.00","33.00",[L]C|[L/M]A|[M-REAL]C|[M-REAL]E|[L/M]H|[L]E|[L/M]G|[L/M]F|[L/M]D|[L/M]B
14,"instance_464|instance_35",2,Yes,"33.00","4.00","0.00","8.00","16.00","0.75","0.75","16.00","0.75","8.00","33.00",[L/M]A|[M-REAL]C|[L]F|[L/M]E|[L/M]H|[L/M]G|[M-REAL]F|[L]C|[L/M]D|[L/M]B
15,"instance_114|instance_370",2,Yes,"32.00","2.00","0.00","9.00","11.00","0.89","0.88","17.00","0.89","9.00","33.00",[L]C|[L/M]A|[M-REAL]C|[L/M]I|[L/M]L|[L/M]M|[L/M]K|[L/M]J|[L/M]D|[L/M]B
16,"instance_298|instance_432",2,Yes,"28.00","2.00","1.00","8.00","10.00","0.88","0.88","16.00","0.88","8.00","29.00",[L/M]A|[L/M]C|[L]G|[L/M]E|[M-REAL]G|[L/M]H|[L/M]F|[L/M]D|[L/M]B
17,"instance_66|instance_182",2,Yes,"26.00","2.00","0.00","8.00","10.00","0.88","0.88","16.00","0.88","8.00","27.00",[L/M]A|[L/M]C|[L/M]E|[L]B|[L/M]H|[L/M]G|[L/M]F|[L/M]D|[M-REAL]B
18,"instance_277|instance_4",2,Yes,"27.00","2.00","0.00","8.00","10.00","0.88","0.88","16.00","0.88","8.00","28.00",[L/M]A|[L/M]C|[L/M]E|[L]F|[L/M]H|[L/M]G|[M-REAL]F|[L/M]D|[L/M]B
19,"instance_390|instance_342",2,Yes,"26.00","2.00","0.00","8.00","10.00","0.88","0.88","16.00","0.88","8.00","27.00",[L/M]A|[L/M]C|[L]B|[L/M]E|[L/M]H|[L/M]G|[L/M]F|[L/M]D|[M-REAL]B
20,"instance_445|instance_209",2,Yes,"27.00","2.00","0.00","8.00","10.00","0.88","0.88","16.00","0.88","8.00","28.00",[L]C|[L/M]A|[M-REAL]C|[L/M]E|[L/M]H|[L/M]G|[L/M]F|[L/M]D|[L/M]B
21,"instance_3|instance_164",2,Yes,"32.00","0.00","0.00","9.00","10.00","1.00","1.00","17.00","1.00","9.00","33.00",[L/M]A|[L/M]C|[L/M]I|[L/M]K|[L/M]L|[L/M]M|[L/M]J|[L/M]D|[L/M]B
22,"instance_347",1,Yes,"2,527.00","48.00","83.00","109.00","1,607.00","0.86","0.59","117.00","0.67","109.00","1,734.00",[L/M]A|[L/M]C|[L]F|[L/M]I|[L/M]M|[L]H|[L/M]L|[L/M]K|[L/M]J|[L/M]D|[L/M]N|[L]B|[L/M]O|[L]J|[L/M]C|[L/M]E|[L]J|[L/M]H|[M-REAL]G|[L]C|[L/M]F|[L]O|[L/M]D|[L/M]N|[L/M]O|[L/M]C|[L/M]E|[L/M]G|[L/M]H|[M-REAL]F|[L/M]D|[L/M]N|[L/M]O|[L/M]C|[L]M|[L]N|[L]D|[L]E|[L]O|[L]C|[L]N|[L/M]E|[L/M]H|[L/M]G|[L/M]F|[L/M]D|[L/M]N|[L]G|[L/M]O|[L/M]C|[L/M]E|[L/M]H|[L]G|[L]F|[L]K|[L/M]G|[L]C|[L]E|[L]N|[L]H|[L/M]F|[L/M]D|[L/M]N|[L/M]O|[L/M]C|[L/M]I|[L/M]K|[L/M]L|[M-REAL]M|[L]G|[L]N|[L/M]J|[L]M|[L/M]D|[L/M]N|[L/M]O|[L/M]C|[L/M]I|[L/M]L|[M-REAL]M|[M-REAL]K|[L]D|[L/M]J|[L/M]D|[L/M]N|[M-REAL]O|[L]H|[L/M]C|[M-REAL]I|[L]E|[L]F|[L/M]K|[L]N|[L]F|[L]O|[L]I|[L/M]L|[L/M]M|[M-REAL]J|[L]D|[L/M]D|[M-REAL]N|[L/M]O|[L/M]C|[L/M]E|[L/M]H|[L/M]G|[L/M]F|[L/M]D|[M-REAL]N|[L/M]O|[L/M]C|[L/M]I|[L/M]M|[L/M]L|[L/M]K|[M-REAL]J|[L]O|[L]G|[L/M]D|[M-REAL]B
