Result of replaying M1.tpn on Process 12 (filtered on event attributes)

Index,Case IDs,NumOfCases,IsReliable,"Traversed Arcs","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Num. States","Move-Model Fitness","Trace Fitness","Max Fitness Cost","Move-Log Fitness","Trace Length","Queued States",Match
1,"instance_5|instance_149|instance_361|instance_1|instance_59|instance_338|instance_326|instance_416|instance_246|instance_164|instance_478",11,Yes,"33.00","2.00","0.00","8.00","11.00","0.80","0.88","16.00","1.00","8.00","34.00",[L/M]A|[L/M]C|[L/M]E|[M-REAL]t4t8|[L/M]I|[L/M]J|[M-REAL]t9t5|[L/M]F|[L/M]D|[L/M]B
2,"instance_174|instance_38|instance_166|instance_449|instance_224|instance_461|instance_347|instance_475|instance_26|instance_160",10,Yes,"28.00","0.00","1.00","8.00","9.00","1.00","1.00","16.00","1.00","8.00","29.00",[L/M]A|[L/M]C|[L/M]E|[L/M]G|[L/M]H|[L/M]F|[L/M]D|[L/M]B
3,"instance_60|instance_45|instance_280|instance_23|instance_386|instance_228|instance_332",7,Yes,"32.00","0.00","1.00","9.00","10.00","1.00","1.00","17.00","1.00","9.00","32.00",[L/M]A|[L/M]C|[L/M]E|[L/M]L|[L/M]O|[L/M]M|[L/M]F|[L/M]D|[L/M]B
4,"instance_295|instance_325|instance_339|instance_278",4,Yes,"28.00","2.00","3.00","8.00","10.00","0.88","0.88","16.00","0.88","8.00","29.00",[L/M]A|[L]E|[L/M]C|[M-REAL]E|[L/M]G|[L/M]H|[L/M]F|[L/M]D|[L/M]B
5,"instance_194|instance_370|instance_53",3,Yes,"45.00","2.00","0.00","11.00","15.00","0.85","0.89","19.00","1.00","11.00","46.00",[L/M]A|[L/M]C|[L/M]E|[M-REAL]t4t8|[L/M]I|[L/M]J|[L/M]K|[L/M]I|[L/M]J|[M-REAL]t9t5|[L/M]F|[L/M]D|[L/M]B
6,"instance_192|instance_40|instance_212",3,Yes,"32.00","2.00","0.00","9.00","11.00","0.89","0.88","17.00","0.89","9.00","32.00",[L/M]A|[L/M]C|[L/M]E|[L]D|[L/M]L|[L/M]O|[L/M]M|[L/M]F|[M-REAL]D|[L/M]B
7,"instance_67|instance_79|instance_121",3,Yes,"32.00","0.00","0.00","9.00","10.00","1.00","1.00","17.00","1.00","9.00","32.00",[L/M]A|[L/M]C|[L/M]E|[L/M]L|[L/M]N|[L/M]M|[L/M]F|[L/M]D|[L/M]B
8,"instance_176|instance_306|instance_340",3,Yes,"27.00","2.00","0.00","8.00","10.00","0.88","0.88","16.00","0.88","8.00","28.00",[L/M]A|[L/M]C|[L/M]E|[L/M]G|[L/M]H|[L/M]F|[L]B|[L/M]D|[M-REAL]B
9,"instance_393|instance_318",2,Yes,"42.00","4.00","0.00","8.00","19.00","0.70","0.75","16.00","0.88","8.00","42.00",[L/M]A|[L/M]C|[L/M]E|[M-REAL]t4t8|[L/M]I|[L/M]J|[M-REAL]t9t5|[M-REAL]F|[L/M]D|[L]F|[L/M]B
10,"instance_187|instance_333",2,Yes,"45.00","4.00","2.00","8.00","20.00","0.75","0.75","16.00","0.75","8.00","42.00",[L/M]A|[L/M]C|[L/M]E|[L/M]G|[M-REAL]H|[M-REAL]F|[L/M]D|[L]F|[L]H|[L/M]B
